"Country","Day","Confirmed"
"Japan",-15.6840506329114,2
"Macau",-15.6840506329114,1
"Mainland China",-15.6840506329114,547
"South Korea",-15.6840506329114,1
"Taiwan",-15.6840506329114,1
"Thailand",-15.6840506329114,2
"US",-15.6840506329114,1
"Hong Kong",-15.6840506329114,2
"Japan",-14.6840506329114,1
"Macau",-14.6840506329114,2
"Mainland China",-14.6840506329114,639
"South Korea",-14.6840506329114,1
"Taiwan",-14.6840506329114,1
"Thailand",-14.6840506329114,3
"US",-14.6840506329114,1
"Singapore",-15.6840506329114,1
"Vietnam",-15.6840506329114,2
"Hong Kong",-14.6840506329114,2
"Japan",-13.6840506329114,2
"Macau",-13.6840506329114,2
"Mainland China",-13.6840506329114,916
"South Korea",-13.6840506329114,2
"Taiwan",-13.6840506329114,3
"Thailand",-13.6840506329114,5
"US",-13.6840506329114,2
"Singapore",-14.6840506329114,3
"Vietnam",-14.6840506329114,2
"France",-15.6840506329114,2
"Hong Kong",-13.6840506329114,5
"Japan",-12.6840506329114,2
"Macau",-12.6840506329114,2
"Mainland China",-12.6840506329114,1399
"South Korea",-12.6840506329114,2
"Taiwan",-12.6840506329114,3
"Thailand",-12.6840506329114,7
"US",-12.6840506329114,2
"Australia",-15.6840506329114,4
"Malaysia",-15.6840506329114,3
"Singapore",-13.6840506329114,3
"Vietnam",-13.6840506329114,2
"France",-14.6840506329114,3
"Nepal",-15.6840506329114,1
"Hong Kong",-12.6840506329114,8
"Japan",-11.6840506329114,4
"Macau",-11.6840506329114,5
"Mainland China",-11.6840506329114,2062
"South Korea",-11.6840506329114,3
"Taiwan",-11.6840506329114,4
"Thailand",-11.6840506329114,8
"US",-11.6840506329114,5
"Australia",-14.6840506329114,4
"Malaysia",-14.6840506329114,4
"Singapore",-12.6840506329114,4
"Vietnam",-12.6840506329114,2
"France",-13.6840506329114,3
"Nepal",-14.6840506329114,1
"Canada",-15.6840506329114,1
"Hong Kong",-11.6840506329114,8
"Japan",-10.6840506329114,4
"Macau",-10.6840506329114,6
"Mainland China",-10.6840506329114,2863
"South Korea",-10.6840506329114,4
"Taiwan",-10.6840506329114,5
"Thailand",-10.6840506329114,8
"US",-10.6840506329114,5
"Australia",-13.6840506329114,5
"Malaysia",-13.6840506329114,4
"Singapore",-11.6840506329114,5
"Vietnam",-11.6840506329114,2
"France",-12.6840506329114,3
"Nepal",-13.6840506329114,1
"Canada",-14.6840506329114,1
"Cambodia",-15.6840506329114,1
"Ivory Coast",-15.6840506329114,1
"Sri Lanka",-15.6840506329114,1
"Hong Kong",-10.6840506329114,8
"Japan",-9.68405063291139,7
"Macau",-9.68405063291139,7
"Mainland China",-9.68405063291139,5494
"South Korea",-9.68405063291139,4
"Taiwan",-9.68405063291139,8
"Thailand",-9.68405063291139,14
"US",-9.68405063291139,5
"Australia",-12.6840506329114,5
"Malaysia",-12.6840506329114,4
"Singapore",-10.6840506329114,7
"Vietnam",-10.6840506329114,2
"France",-11.6840506329114,4
"Nepal",-12.6840506329114,1
"Canada",-13.6840506329114,2
"Cambodia",-14.6840506329114,1
"Sri Lanka",-14.6840506329114,1
"Germany",-15.6840506329114,4
"Hong Kong",-9.68405063291139,10
"Japan",-8.68405063291139,7
"Macau",-8.68405063291139,7
"Mainland China",-8.68405063291139,6070
"South Korea",-8.68405063291139,4
"Taiwan",-8.68405063291139,8
"Thailand",-8.68405063291139,14
"US",-8.68405063291139,5
"Australia",-11.6840506329114,5
"Malaysia",-11.6840506329114,7
"Singapore",-9.68405063291139,7
"Vietnam",-9.68405063291139,2
"France",-10.6840506329114,5
"Nepal",-11.6840506329114,1
"Canada",-12.6840506329114,2
"Cambodia",-13.6840506329114,1
"Sri Lanka",-13.6840506329114,1
"Germany",-14.6840506329114,4
"Finland",-15.6840506329114,1
"United Arab Emirates",-15.6840506329114,4
"Hong Kong",-8.68405063291139,10
"Japan",-7.68405063291139,11
"Macau",-7.68405063291139,7
"Mainland China",-7.68405063291139,8124
"South Korea",-7.68405063291139,4
"Taiwan",-7.68405063291139,9
"Thailand",-7.68405063291139,14
"US",-7.68405063291139,5
"Australia",-10.6840506329114,9
"Malaysia",-10.6840506329114,8
"Philippines",-15.6840506329114,1
"Singapore",-8.68405063291139,10
"Vietnam",-8.68405063291139,2
"France",-9.68405063291139,5
"Nepal",-10.6840506329114,1
"Canada",-11.6840506329114,3
"Cambodia",-12.6840506329114,1
"Sri Lanka",-12.6840506329114,1
