"Country","Day","Confirmed","Deaths","Recovered"
"Albania",1,2,0,0
"Albania",2,10,0,0
"Albania",3,12,1,0
"Albania",4,23,1,0
"Albania",5,33,1,0
"Albania",6,38,1,0
"Albania",7,42,1,0
"Albania",8,51,1,0
"Albania",9,55,1,0
"Albania",10,59,2,0
"Albania",11,64,2,0
"Albania",12,70,2,0
"Albania",13,76,2,2
"Albania",14,89,2,2
"Albania",15,104,4,2
"Albania",16,123,5,10
"Albania",17,146,5,17
"Albania",18,174,6,17
"Albania",19,186,8,31
"Albania",20,197,10,31
"Albania",21,212,10,33
"Albania",22,223,11,44
"Albania",23,243,15,52
"Albania",24,259,15,67
"Albania",25,277,16,76
"Albania",26,304,17,89
"Albania",27,333,20,99
"Albania",28,361,20,104
"Albania",29,377,21,116
"Albania",30,383,22,131
"Albania",31,400,22,154
"Albania",32,409,23,165
"Albania",33,416,23,182
"Albania",34,433,23,197
"Albania",35,446,23,217
"Albania",36,467,23,232
"Albania",37,475,24,248
"Albania",38,494,25,251
"Albania",39,518,26,277
"Albania",40,539,26,283
"Albania",41,548,26,302
"Albania",42,562,26,314
"Albania",43,584,26,327
"Albania",44,609,26,345
"Albania",45,634,27,356
"Albania",46,663,27,385
"Albania",47,678,27,394
"Albania",48,712,27,403
"Albania",49,726,28,410
"Albania",50,736,28,422
"Albania",51,750,30,431
"Albania",52,766,30,455
"Albania",53,773,31,470
"Albania",54,782,31,488
"Albania",55,789,31,519
"Albania",56,795,31,531
"Albania",57,803,31,543
"Albania",58,820,31,570
"Albania",59,832,31,595
"Albania",60,842,31,605
"Albania",61,850,31,620
"Albania",62,856,31,627
"Albania",63,868,31,650
"Albania",64,872,31,654
"Albania",65,876,31,682
"Albania",66,880,31,688
