"Country","Day","Confirmed","Deaths","Recovered"
"Algeria",1,1,0,0
"Algeria",2,1,0,0
"Algeria",3,1,0,0
"Algeria",4,1,0,0
"Algeria",5,1,0,0
"Algeria",6,1,0,0
"Algeria",7,3,0,0
"Algeria",8,5,0,0
"Algeria",9,12,0,0
"Algeria",10,12,0,0
"Algeria",11,17,0,0
"Algeria",12,17,0,0
"Algeria",13,19,0,0
"Algeria",14,20,0,0
"Algeria",15,20,0,0
"Algeria",16,20,0,0
"Algeria",17,24,1,8
"Algeria",18,26,2,8
"Algeria",19,37,3,12
"Algeria",20,48,4,12
"Algeria",21,54,4,12
"Algeria",22,60,4,12
"Algeria",23,74,7,12
"Algeria",24,87,9,32
"Algeria",25,90,11,32
"Algeria",26,139,15,32
