"Country","Day","Confirmed","Deaths","Recovered"
"Andorra",1,1,0,0
"Andorra",2,1,0,0
"Andorra",3,1,0,0
"Andorra",4,1,0,0
"Andorra",5,1,0,0
"Andorra",6,1,0,0
"Andorra",7,1,0,0
"Andorra",8,1,0,0
"Andorra",9,1,0,0
"Andorra",10,1,0,0
"Andorra",11,1,0,1
"Andorra",12,1,0,0
"Andorra",13,1,0,1
"Andorra",14,1,0,1
"Andorra",15,2,0,1
"Andorra",16,39,0,1
"Andorra",17,39,0,1
"Andorra",18,53,0,1
"Andorra",19,75,0,1
"Andorra",20,88,0,1
"Andorra",21,113,1,1
"Andorra",22,133,1,1
"Andorra",23,164,1,1
"Andorra",24,188,1,1
"Andorra",25,224,3,1
"Andorra",26,267,3,1
"Andorra",27,308,3,1
"Andorra",28,334,6,1
"Andorra",29,370,8,10
"Andorra",30,376,12,10
"Andorra",31,390,14,10
"Andorra",32,428,15,10
"Andorra",33,439,16,16
"Andorra",34,466,17,21
"Andorra",35,501,18,26
"Andorra",36,525,21,31
"Andorra",37,545,22,39
"Andorra",38,564,23,52
"Andorra",39,583,25,58
"Andorra",40,601,26,71
"Andorra",41,601,26,71
"Andorra",42,638,29,128
"Andorra",43,646,29,128
"Andorra",44,659,31,128
"Andorra",45,673,33,169
"Andorra",46,673,33,169
"Andorra",47,696,35,191
"Andorra",48,704,35,205
"Andorra",49,713,36,235
"Andorra",50,717,37,248
"Andorra",51,717,37,282
"Andorra",52,723,37,309
"Andorra",53,723,37,333
"Andorra",54,731,40,344
"Andorra",55,738,40,344
"Andorra",56,738,40,344
"Andorra",57,743,40,385
"Andorra",58,743,41,398
"Andorra",59,743,42,423
"Andorra",60,745,42,468
"Andorra",61,745,43,468
"Andorra",62,747,44,472
"Andorra",63,748,45,493
"Andorra",64,750,45,499
"Andorra",65,751,46,514
"Andorra",66,751,46,521
"Andorra",67,752,47,526
"Andorra",68,752,47,537
"Andorra",69,754,48,545
"Andorra",70,755,48,550
"Andorra",71,755,48,550
"Andorra",72,758,48,568
"Andorra",73,760,49,576
