"Country","Day","Confirmed"
"Australia",1,4
"Australia",2,4
"Australia",3,5
"Australia",4,5
"Australia",5,5
"Australia",6,9
"Australia",7,9
"Australia",8,12
"Australia",9,12
"Australia",10,12
"Australia",11,13
"Australia",12,13
"Australia",13,14
"Australia",14,15
"Australia",15,15
"Australia",16,15
"Australia",17,15
"Australia",18,15
"Australia",19,15
"Australia",20,15
"Australia",21,15
"Australia",22,15
"Australia",23,15
"Australia",24,15
"Australia",25,15
"Australia",26,15
"Australia",27,15
"Australia",28,19
"Australia",29,22
"Australia",30,22
"Australia",31,22
"Australia",32,22
"Australia",33,22
"Australia",34,23
"Australia",35,23
"Australia",36,25
"Australia",37,27
"Australia",38,30
"Australia",39,39
"Australia",40,52
"Australia",41,55
"Australia",42,60
"Australia",43,63
"Australia",44,76
"Australia",45,91
"Australia",46,107
"Australia",47,128
"Australia",48,128
"Australia",49,200
