"Country","Day","Confirmed","Deaths","Recovered"
"Austria",1,2,0,0
"Austria",2,2,0,0
"Austria",3,3,0,0
"Austria",4,3,0,0
"Austria",5,9,0,0
"Austria",6,14,0,0
"Austria",7,18,0,0
"Austria",8,21,0,0
"Austria",9,29,0,0
"Austria",10,41,0,0
"Austria",11,55,0,0
"Austria",12,79,0,0
"Austria",13,104,0,0
"Austria",14,131,0,2
"Austria",15,182,0,4
"Austria",16,246,0,4
"Austria",17,302,1,4
"Austria",18,504,1,6
"Austria",19,655,1,6
"Austria",20,860,1,6
"Austria",21,1018,3,6
"Austria",22,1332,3,1
"Austria",23,1646,4,9
"Austria",24,2013,6,9
"Austria",25,2388,6,9
"Austria",26,2814,8,9
"Austria",27,3580,16,9
"Austria",28,4474,21,9
"Austria",29,5283,28,9
"Austria",30,5588,30,9
"Austria",31,6909,49,112
"Austria",32,7657,58,225
"Austria",33,8271,68,225
"Austria",34,8788,86,479
"Austria",35,9618,108,636
"Austria",36,10180,128,1095
"Austria",37,10711,146,1436
"Austria",38,11129,158,1749
"Austria",39,11524,168,2022
"Austria",40,11781,186,2507
"Austria",41,12051,204,2998
"Austria",42,12297,220,3463
"Austria",43,12639,243,4046
"Austria",44,12942,273,4512
"Austria",45,13244,295,5240
"Austria",46,13555,319,6064
"Austria",47,13806,337,6604
"Austria",48,13945,350,6987
"Austria",49,14041,368,7343
"Austria",50,14226,384,7633
"Austria",51,14336,393,8098
"Austria",52,14476,410,8986
"Austria",53,14595,431,9704
"Austria",54,14671,443,10214
"Austria",55,14749,452,10501
"Austria",56,14795,470,10631
"Austria",57,14873,491,10971
"Austria",58,14925,510,11328
"Austria",59,15002,522,11694
"Austria",60,15071,530,11872
"Austria",61,15148,536,12103
"Austria",62,15225,542,12282
"Austria",63,15274,549,12362
"Austria",64,15357,569,12580
"Austria",65,15402,580,12779
"Austria",66,15452,584,12907
"Austria",67,15531,589,13110
"Austria",68,15558,596,13180
"Austria",69,15597,598,13228
"Austria",70,15621,600,13316
"Austria",71,15650,606,13462
"Austria",72,15684,608,13639
"Austria",73,15752,609,13698
"Austria",74,15774,614,13836
"Austria",75,15833,615,13928
"Austria",76,15871,618,13991
"Austria",77,15882,620,14061
"Austria",78,15961,623,14148
"Austria",79,15997,624,14304
