"Country","Day","Confirmed","Deaths","Recovered"
"Bahrain",1,1,0,0
"Bahrain",2,23,0,0
"Bahrain",3,33,0,0
"Bahrain",4,33,0,0
"Bahrain",5,36,0,0
"Bahrain",6,41,0,0
"Bahrain",7,47,0,0
"Bahrain",8,49,0,0
"Bahrain",9,49,0,0
"Bahrain",10,52,0,0
"Bahrain",11,55,0,0
"Bahrain",12,60,0,4
"Bahrain",13,85,0,4
"Bahrain",14,85,0,4
"Bahrain",15,95,0,14
"Bahrain",16,110,0,22
"Bahrain",17,195,0,35
"Bahrain",18,195,0,35
"Bahrain",19,189,0,44
"Bahrain",20,210,0,44
"Bahrain",21,214,0,60
"Bahrain",22,214,1,77
"Bahrain",23,228,1,81
"Bahrain",24,256,1,88
"Bahrain",25,278,1,100
"Bahrain",26,285,1,100
"Bahrain",27,305,1,125
"Bahrain",28,334,2,149
"Bahrain",29,377,2,164
"Bahrain",30,392,3,177
"Bahrain",31,419,4,177
"Bahrain",32,458,4,204
"Bahrain",33,466,4,227
"Bahrain",34,476,4,265
"Bahrain",35,499,4,272
"Bahrain",36,515,4,279
"Bahrain",37,567,4,295
"Bahrain",38,569,4,337
"Bahrain",39,643,4,381
"Bahrain",40,672,4,382
"Bahrain",41,688,4,423
"Bahrain",42,700,4,431
"Bahrain",43,756,4,458
"Bahrain",44,811,5,458
"Bahrain",45,823,5,477
"Bahrain",46,887,5,519
"Bahrain",47,925,6,539
"Bahrain",48,1040,6,555
"Bahrain",49,1136,6,558
"Bahrain",50,1361,6,591
"Bahrain",51,1528,7,645
"Bahrain",52,1671,7,663
"Bahrain",53,1700,7,703
"Bahrain",54,1740,7,725
"Bahrain",55,1773,7,755
"Bahrain",56,1881,7,759
"Bahrain",57,1907,7,769
"Bahrain",58,1973,7,784
"Bahrain",59,2027,7,1026
"Bahrain",60,2217,8,1082
"Bahrain",61,2518,8,1113
"Bahrain",62,2588,8,1160
"Bahrain",63,2647,8,1189
"Bahrain",64,2723,8,1218
"Bahrain",65,2811,8,1310
"Bahrain",66,2921,8,1455
"Bahrain",67,3040,8,1500
"Bahrain",68,3170,8,1555
"Bahrain",69,3284,8,1568
"Bahrain",70,3383,8,1718
"Bahrain",71,3533,8,1744
"Bahrain",72,3720,8,1762
