"Country","Day","Confirmed","Deaths","Recovered"
"Bangladesh",1,3,0,0
"Bangladesh",2,3,0,0
"Bangladesh",3,3,0,0
"Bangladesh",4,3,0,0
"Bangladesh",5,3,0,0
"Bangladesh",6,3,0,0
"Bangladesh",7,3,0,0
"Bangladesh",8,5,0,0
"Bangladesh",9,8,0,2
"Bangladesh",10,10,0,3
"Bangladesh",11,14,1,3
"Bangladesh",12,17,1,3
"Bangladesh",13,20,1,3
"Bangladesh",14,25,2,3
"Bangladesh",15,27,2,3
"Bangladesh",16,33,3,5
"Bangladesh",17,39,4,5
"Bangladesh",18,39,5,7
"Bangladesh",19,44,5,11
"Bangladesh",20,48,5,11
"Bangladesh",21,48,5,15
"Bangladesh",22,48,5,15
"Bangladesh",23,49,5,19
"Bangladesh",24,51,5,25
"Bangladesh",25,54,6,25
"Bangladesh",26,56,6,25
"Bangladesh",27,61,6,26
"Bangladesh",28,70,8,30
"Bangladesh",29,88,9,33
"Bangladesh",30,123,12,33
"Bangladesh",31,164,17,33
"Bangladesh",32,218,20,33
"Bangladesh",33,330,21,33
"Bangladesh",34,424,27,33
"Bangladesh",35,482,30,36
"Bangladesh",36,621,34,39
"Bangladesh",37,803,39,42
"Bangladesh",38,1012,46,42
"Bangladesh",39,1231,50,49
"Bangladesh",40,1572,60,49
"Bangladesh",41,1838,75,58
"Bangladesh",42,2144,84,66
"Bangladesh",43,2456,91,75
"Bangladesh",44,2948,101,85
"Bangladesh",45,3382,110,87
"Bangladesh",46,3772,120,92
"Bangladesh",47,4186,127,108
"Bangladesh",48,4689,131,112
"Bangladesh",49,4998,140,113
"Bangladesh",50,5416,145,122
"Bangladesh",51,5913,152,131
"Bangladesh",52,6462,155,139
"Bangladesh",53,7103,163,150
"Bangladesh",54,7667,168,160
"Bangladesh",55,8238,170,174
"Bangladesh",56,8790,175,177
"Bangladesh",57,9455,177,1063
"Bangladesh",58,10143,182,1209
"Bangladesh",59,10929,183,1403
"Bangladesh",60,11719,186,1403
"Bangladesh",61,12425,199,1910
"Bangladesh",62,13134,206,2101
"Bangladesh",63,13770,214,2414
"Bangladesh",64,14657,228,2650
"Bangladesh",65,15691,239,2902
"Bangladesh",66,16660,250,3147
"Bangladesh",67,17822,269,3361
