"Country","Day","Confirmed","Deaths","Recovered"
"Belarus",1,1,0,0
"Belarus",2,1,0,0
"Belarus",3,1,0,0
"Belarus",4,1,0,0
"Belarus",5,1,0,0
"Belarus",6,6,0,0
"Belarus",7,6,0,0
"Belarus",8,6,0,0
"Belarus",9,6,0,0
"Belarus",10,6,0,0
"Belarus",11,6,0,1
"Belarus",12,9,0,3
"Belarus",13,9,0,3
"Belarus",14,12,0,3
"Belarus",15,27,0,3
"Belarus",16,27,0,3
"Belarus",17,27,0,3
"Belarus",18,36,0,3
"Belarus",19,36,0,3
"Belarus",20,51,0,5
"Belarus",21,51,0,5
"Belarus",22,69,0,5
"Belarus",23,76,0,15
"Belarus",24,76,0,15
"Belarus",25,81,0,22
"Belarus",26,81,0,22
"Belarus",27,86,0,29
"Belarus",28,86,0,29
"Belarus",29,94,0,32
"Belarus",30,94,0,32
"Belarus",31,94,0,32
"Belarus",32,152,0,32
"Belarus",33,152,1,47
"Belarus",34,163,2,53
"Belarus",35,304,4,53
"Belarus",36,351,4,53
"Belarus",37,440,5,53
"Belarus",38,562,8,52
"Belarus",39,700,13,53
"Belarus",40,861,13,54
"Belarus",41,1066,13,77
"Belarus",42,1486,16,139
"Belarus",43,1981,19,169
"Belarus",44,2226,23,172
"Belarus",45,2578,26,203
"Belarus",46,2919,29,203
"Belarus",47,3281,33,203
"Belarus",48,3728,36,203
"Belarus",49,4204,40,203
"Belarus",50,4779,42,342
"Belarus",51,4779,45,342
"Belarus",52,4779,47,494
"Belarus",53,6264,51,514
"Belarus",54,6723,55,577
"Belarus",55,7281,58,769
"Belarus",56,8022,60,938
"Belarus",57,8773,63,1120
"Belarus",58,9590,67,1573
"Belarus",59,10463,72,1695
"Belarus",60,11289,75,1740
"Belarus",61,12208,79,1993
"Belarus",62,13181,84,2072
"Belarus",63,14027,89,2386
"Belarus",64,14917,93,2918
"Belarus",65,15828,97,3117
"Belarus",66,16705,99,3196
"Belarus",67,17489,103,3259
"Belarus",68,18350,107,3771
"Belarus",69,19255,112,4388
"Belarus",70,20168,116,5067
"Belarus",71,21101,121,5484
"Belarus",72,22052,126,6050
"Belarus",73,22973,131,6406
"Belarus",74,23906,135,6531
"Belarus",75,24873,142,6974
"Belarus",76,25825,146,7711
