"Country","Day","Confirmed"
"Belgium",1,1
"Belgium",2,1
"Belgium",3,1
"Belgium",4,1
"Belgium",5,1
"Belgium",6,1
"Belgium",7,1
"Belgium",8,1
"Belgium",9,1
"Belgium",10,1
"Belgium",11,1
"Belgium",12,1
"Belgium",13,1
"Belgium",14,1
"Belgium",15,1
"Belgium",16,1
"Belgium",17,1
"Belgium",18,1
"Belgium",19,1
"Belgium",20,1
"Belgium",21,1
"Belgium",22,1
"Belgium",23,1
"Belgium",24,1
"Belgium",25,1
"Belgium",26,1
"Belgium",27,2
"Belgium",28,8
"Belgium",29,13
"Belgium",30,23
"Belgium",31,50
"Belgium",32,109
"Belgium",33,169
"Belgium",34,200
"Belgium",35,239
"Belgium",36,267
"Belgium",37,314
"Belgium",38,314
"Belgium",39,559
"Belgium",40,689
