"Country","Day","Confirmed","Deaths","Recovered"
"Benin",1,1,0,0
"Benin",2,1,0,0
"Benin",3,2,0,0
"Benin",4,2,0,0
"Benin",5,2,0,0
"Benin",6,2,0,0
"Benin",7,2,0,0
"Benin",8,5,0,0
"Benin",9,6,0,0
"Benin",10,6,0,0
"Benin",11,6,0,0
"Benin",12,6,0,0
"Benin",13,6,0,0
"Benin",14,6,0,0
"Benin",15,6,0,0
"Benin",16,9,0,1
"Benin",17,13,0,1
"Benin",18,13,0,1
"Benin",19,16,0,2
"Benin",20,16,0,2
"Benin",21,22,0,5
"Benin",22,26,1,5
"Benin",23,26,1,5
"Benin",24,26,1,5
"Benin",25,26,1,5
"Benin",26,35,1,5
"Benin",27,35,1,5
"Benin",28,35,1,5
"Benin",29,35,1,5
"Benin",30,35,1,18
"Benin",31,35,1,18
"Benin",32,35,1,18
"Benin",33,35,1,18
"Benin",34,35,1,18
"Benin",35,35,1,18
"Benin",36,54,1,27
"Benin",37,54,1,27
"Benin",38,54,1,27
"Benin",39,54,1,27
"Benin",40,54,1,27
"Benin",41,54,1,27
"Benin",42,64,1,33
"Benin",43,64,1,33
"Benin",44,64,1,33
"Benin",45,64,1,33
"Benin",46,64,1,33
"Benin",47,90,2,42
"Benin",48,90,2,42
"Benin",49,90,2,42
"Benin",50,96,2,50
"Benin",51,96,2,50
"Benin",52,96,2,50
"Benin",53,140,2,53
"Benin",54,242,2,62
"Benin",55,284,2,62
"Benin",56,319,2,62
"Benin",57,319,2,62
"Benin",58,327,2,76
"Benin",59,327,2,83
