"Country","Day","Confirmed","Deaths","Recovered"
"Bolivia",1,2,0,0
"Bolivia",2,2,0,0
"Bolivia",3,3,0,0
"Bolivia",4,10,0,0
"Bolivia",5,10,0,0
"Bolivia",6,11,0,0
"Bolivia",7,11,0,0
"Bolivia",8,12,0,0
"Bolivia",9,12,0,0
"Bolivia",10,15,0,0
"Bolivia",11,19,0,0
"Bolivia",12,24,0,0
"Bolivia",13,27,0,0
"Bolivia",14,29,0,0
"Bolivia",15,32,0,0
"Bolivia",16,43,0,0
"Bolivia",17,61,0,0
"Bolivia",18,74,0,0
"Bolivia",19,81,1,0
"Bolivia",20,97,4,0
"Bolivia",21,107,6,0
"Bolivia",22,115,7,1
"Bolivia",23,123,8,1
"Bolivia",24,132,9,1
"Bolivia",25,139,10,1
"Bolivia",26,157,10,2
"Bolivia",27,183,11,2
"Bolivia",28,194,14,2
"Bolivia",29,210,15,2
"Bolivia",30,264,18,2
"Bolivia",31,268,19,2
"Bolivia",32,275,20,2
"Bolivia",33,300,24,2
"Bolivia",34,330,27,2
"Bolivia",35,354,28,6
"Bolivia",36,397,28,7
"Bolivia",37,441,29,14
"Bolivia",38,465,31,26
"Bolivia",39,493,31,31
"Bolivia",40,520,32,31
"Bolivia",41,564,33,31
"Bolivia",42,598,34,37
"Bolivia",43,609,37,44
"Bolivia",44,703,43,44
"Bolivia",45,807,44,54
"Bolivia",46,866,46,54
"Bolivia",47,950,50,80
"Bolivia",48,1014,53,98
"Bolivia",49,1014,53,98
"Bolivia",50,1110,59,117
"Bolivia",51,1110,59,117
"Bolivia",52,1229,66,134
"Bolivia",53,1229,66,134
"Bolivia",54,1594,76,166
"Bolivia",55,1681,82,174
"Bolivia",56,1802,86,187
"Bolivia",57,1886,91,198
"Bolivia",58,2081,102,219
"Bolivia",59,2266,106,237
"Bolivia",60,2437,114,258
"Bolivia",61,2556,118,273
"Bolivia",62,2831,122,299
"Bolivia",63,2964,128,313
"Bolivia",64,3148,142,339
