"Country","Day","Confirmed","Deaths","Recovered"
"Bosnia and Herzegovina",1,2,0,0
"Bosnia and Herzegovina",2,2,0,0
"Bosnia and Herzegovina",3,3,0,0
"Bosnia and Herzegovina",4,3,0,0
"Bosnia and Herzegovina",5,3,0,0
"Bosnia and Herzegovina",6,5,0,0
"Bosnia and Herzegovina",7,7,0,0
"Bosnia and Herzegovina",8,11,0,0
"Bosnia and Herzegovina",9,13,0,0
"Bosnia and Herzegovina",10,18,0,0
"Bosnia and Herzegovina",11,24,0,0
"Bosnia and Herzegovina",12,25,0,0
"Bosnia and Herzegovina",13,26,0,2
"Bosnia and Herzegovina",14,38,0,2
"Bosnia and Herzegovina",15,63,0,2
"Bosnia and Herzegovina",16,89,0,2
"Bosnia and Herzegovina",17,93,1,2
"Bosnia and Herzegovina",18,126,1,2
"Bosnia and Herzegovina",19,132,1,2
