"Country","Day","Confirmed","Deaths","Recovered"
"Brazil",1,1,0,0
"Brazil",2,1,0,0
"Brazil",3,1,0,0
"Brazil",4,2,0,0
"Brazil",5,2,0,0
"Brazil",6,2,0,0
"Brazil",7,2,0,0
"Brazil",8,4,0,0
"Brazil",9,4,0,0
"Brazil",10,13,0,0
"Brazil",11,13,0,0
"Brazil",12,20,0,0
"Brazil",13,25,0,0
"Brazil",14,31,0,0
"Brazil",15,38,0,0
"Brazil",16,52,0,0
"Brazil",17,151,0,0
"Brazil",18,151,0,0
"Brazil",19,162,0,0
"Brazil",20,200,0,1
"Brazil",21,321,1,2
"Brazil",22,372,3,2
"Brazil",23,621,6,2
"Brazil",24,793,11,2
"Brazil",25,1021,15,2
"Brazil",26,1546,25,2
"Brazil",27,1924,34,2
"Brazil",28,2247,46,2
"Brazil",29,2554,59,2
"Brazil",30,2985,77,6
"Brazil",31,3417,92,6
"Brazil",32,3904,111,6
"Brazil",33,4256,136,6
"Brazil",34,4579,159,120
"Brazil",35,5717,201,127
"Brazil",36,6836,240,127
"Brazil",37,8044,324,127
"Brazil",38,9056,359,127
"Brazil",39,10360,445,127
"Brazil",40,11130,486,127
"Brazil",41,12161,564,127
"Brazil",42,14034,686,127
"Brazil",43,16170,819,127
"Brazil",44,18092,950,173
"Brazil",45,19638,1057,173
"Brazil",46,20727,1124,173
"Brazil",47,22192,1223,173
"Brazil",48,23430,1328,173
"Brazil",49,25262,1532,3046
"Brazil",50,28320,1736,14026
"Brazil",51,30425,1924,14026
"Brazil",52,33682,2141,14026
"Brazil",53,36658,2354,14026
"Brazil",54,38654,2462,22130
"Brazil",55,40743,2587,22130
"Brazil",56,43079,2741,22991
"Brazil",57,45757,2906,25318
"Brazil",58,50036,3331,26573
"Brazil",59,54043,3704,27655
"Brazil",60,59324,4057,29160
"Brazil",61,63100,4286,30152
"Brazil",62,67446,4603,31142
"Brazil",63,73235,5083,32544
"Brazil",64,79685,5513,34132
"Brazil",65,87187,6006,35935
"Brazil",66,92202,6412,38039
"Brazil",67,97100,6761,40937
"Brazil",68,101826,7051,42991
"Brazil",69,108620,7367,45815
"Brazil",70,115455,7938,48221
