"Country","Day","Confirmed","Deaths","Recovered"
"Bulgaria",1,4,0,0
"Bulgaria",2,4,0,0
"Bulgaria",3,4,0,0
"Bulgaria",4,7,1,0
"Bulgaria",5,7,1,0
"Bulgaria",6,23,1,0
"Bulgaria",7,41,2,0
"Bulgaria",8,51,2,0
"Bulgaria",9,52,2,0
"Bulgaria",10,67,2,0
"Bulgaria",11,92,2,0
"Bulgaria",12,94,3,0
"Bulgaria",13,127,3,0
"Bulgaria",14,163,3,3
"Bulgaria",15,187,3,3
"Bulgaria",16,201,3,3
"Bulgaria",17,218,3,3
"Bulgaria",18,242,3,4
"Bulgaria",19,264,3,8
"Bulgaria",20,293,3,9
"Bulgaria",21,331,7,11
"Bulgaria",22,346,8,14
"Bulgaria",23,359,8,17
"Bulgaria",24,399,8,17
"Bulgaria",25,422,10,20
"Bulgaria",26,457,10,25
"Bulgaria",27,485,14,30
"Bulgaria",28,503,17,34
"Bulgaria",29,531,20,37
"Bulgaria",30,549,22,39
"Bulgaria",31,577,23,42
"Bulgaria",32,593,24,42
"Bulgaria",33,618,24,48
"Bulgaria",34,635,25,54
"Bulgaria",35,661,28,62
"Bulgaria",36,675,29,68
"Bulgaria",37,685,32,71
"Bulgaria",38,713,35,81
"Bulgaria",39,747,36,105
"Bulgaria",40,800,38,122
"Bulgaria",41,846,41,141
"Bulgaria",42,878,41,153
"Bulgaria",43,894,42,161
"Bulgaria",44,929,43,167
"Bulgaria",45,975,45,170
"Bulgaria",46,1024,49,174
"Bulgaria",47,1097,52,190
"Bulgaria",48,1234,54,197
"Bulgaria",49,1247,55,197
"Bulgaria",50,1300,56,205
"Bulgaria",51,1363,58,206
"Bulgaria",52,1399,58,222
"Bulgaria",53,1447,64,243
"Bulgaria",54,1506,66,266
"Bulgaria",55,1555,68,276
"Bulgaria",56,1594,72,287
"Bulgaria",57,1618,73,308
"Bulgaria",58,1652,78,321
"Bulgaria",59,1704,80,342
"Bulgaria",60,1778,84,360
"Bulgaria",61,1829,84,384
"Bulgaria",62,1872,86,401
"Bulgaria",63,1921,90,422
"Bulgaria",64,1965,91,444
"Bulgaria",65,1990,93,461
"Bulgaria",66,2023,95,476
"Bulgaria",67,2069,96,499
