"Country","Day","Confirmed","Deaths","Recovered"
"Burma",1,8,0,0
"Burma",2,8,0,0
"Burma",3,10,0,0
"Burma",4,14,0,0
"Burma",5,15,1,0
"Burma",6,15,1,0
"Burma",7,20,1,0
"Burma",8,20,1,0
"Burma",9,21,1,0
"Burma",10,21,1,0
"Burma",11,22,1,0
"Burma",12,22,1,0
"Burma",13,22,3,0
"Burma",14,23,3,2
"Burma",15,27,3,2
"Burma",16,38,3,2
"Burma",17,41,4,2
"Burma",18,62,4,2
"Burma",19,63,4,2
"Burma",20,74,4,2
"Burma",21,85,4,2
"Burma",22,88,4,5
"Burma",23,98,5,5
"Burma",24,111,5,7
"Burma",25,119,5,7
"Burma",26,121,5,7
"Burma",27,123,5,7
"Burma",28,139,5,9
"Burma",29,144,5,9
"Burma",30,146,5,10
"Burma",31,146,5,10
"Burma",32,146,5,16
"Burma",33,150,5,16
"Burma",34,150,6,27
"Burma",35,151,6,27
"Burma",36,151,6,31
"Burma",37,151,6,37
"Burma",38,155,6,43
"Burma",39,161,6,49
"Burma",40,161,6,49
"Burma",41,161,6,50
"Burma",42,176,6,62
"Burma",43,177,6,67
"Burma",44,178,6,68
"Burma",45,180,6,72
"Burma",46,180,6,74
"Burma",47,180,6,76
"Burma",48,181,6,79
