"Country","Day","Confirmed","Deaths","Recovered"
"Cameroon",1,1,0,0
"Cameroon",2,1,0,0
"Cameroon",3,2,0,0
"Cameroon",4,2,0,0
"Cameroon",5,2,0,0
"Cameroon",6,2,0,0
"Cameroon",7,2,0,0
"Cameroon",8,2,0,0
"Cameroon",9,2,0,0
"Cameroon",10,2,0,0
"Cameroon",11,4,0,0
"Cameroon",12,10,0,0
"Cameroon",13,10,0,0
"Cameroon",14,13,0,0
"Cameroon",15,20,0,0
"Cameroon",16,27,0,0
"Cameroon",17,40,0,2
"Cameroon",18,56,0,2
"Cameroon",19,66,0,2
"Cameroon",20,75,1,2
"Cameroon",21,75,1,2
"Cameroon",22,91,2,2
"Cameroon",23,91,2,2
"Cameroon",24,139,6,5
"Cameroon",25,139,6,5
"Cameroon",26,193,6,5
"Cameroon",27,233,6,10
"Cameroon",28,306,7,10
"Cameroon",29,509,8,17
"Cameroon",30,555,9,17
"Cameroon",31,650,9,17
"Cameroon",32,658,9,17
"Cameroon",33,658,9,43
"Cameroon",34,730,10,60
"Cameroon",35,730,10,60
"Cameroon",36,820,12,98
"Cameroon",37,820,12,98
"Cameroon",38,820,12,98
"Cameroon",39,820,12,98
"Cameroon",40,848,14,130
"Cameroon",41,848,17,165
"Cameroon",42,996,22,164
"Cameroon",43,996,22,164
"Cameroon",44,1017,22,177
"Cameroon",45,1017,42,305
"Cameroon",46,1163,42,305
"Cameroon",47,1163,43,329
"Cameroon",48,1163,43,397
"Cameroon",49,1334,43,668
"Cameroon",50,1430,43,668
"Cameroon",51,1518,53,697
"Cameroon",52,1621,56,786
"Cameroon",53,1705,58,805
"Cameroon",54,1705,58,915
"Cameroon",55,1832,61,934
"Cameroon",56,1832,61,934
"Cameroon",57,1832,61,934
"Cameroon",58,2077,64,953
"Cameroon",59,2077,64,953
"Cameroon",60,2104,64,953
"Cameroon",61,2104,64,953
