"Country","Day","Confirmed"
"Canada",1,1
"Canada",2,1
"Canada",3,2
"Canada",4,2
"Canada",5,3
"Canada",6,3
"Canada",7,4
"Canada",8,4
"Canada",9,4
"Canada",10,4
"Canada",11,5
"Canada",12,5
"Canada",13,7
"Canada",14,7
"Canada",15,7
"Canada",16,7
"Canada",17,7
"Canada",18,7
"Canada",19,7
"Canada",20,7
"Canada",21,7
"Canada",22,7
"Canada",23,8
"Canada",24,8
"Canada",25,8
"Canada",26,8
"Canada",27,9
"Canada",28,9
"Canada",29,9
"Canada",30,10
"Canada",31,11
"Canada",32,11
"Canada",33,13
"Canada",34,14
"Canada",35,20
"Canada",36,24
"Canada",37,27
"Canada",38,30
"Canada",39,33
"Canada",40,37
"Canada",41,49
"Canada",42,54
"Canada",43,64
"Canada",44,76
"Canada",45,79
"Canada",46,108
"Canada",47,117
"Canada",48,193
"Canada",49,196
