"Country","Day","Confirmed","Deaths","Recovered"
"Central African Republic",1,1,0,0
"Central African Republic",2,1,0,0
"Central African Republic",3,1,0,0
"Central African Republic",4,1,0,0
"Central African Republic",5,1,0,0
"Central African Republic",6,3,0,0
"Central African Republic",7,3,0,0
"Central African Republic",8,3,0,0
"Central African Republic",9,3,0,0
"Central African Republic",10,3,0,0
"Central African Republic",11,3,0,0
"Central African Republic",12,3,0,0
"Central African Republic",13,3,0,0
"Central African Republic",14,3,0,0
"Central African Republic",15,3,0,0
"Central African Republic",16,3,0,0
"Central African Republic",17,3,0,0
"Central African Republic",18,3,0,0
"Central African Republic",19,3,0,0
"Central African Republic",20,8,0,0
"Central African Republic",21,8,0,0
"Central African Republic",22,8,0,0
"Central African Republic",23,8,0,0
"Central African Republic",24,8,0,0
"Central African Republic",25,8,0,0
"Central African Republic",26,8,0,0
"Central African Republic",27,8,0,0
"Central African Republic",28,8,0,0
"Central African Republic",29,8,0,0
"Central African Republic",30,11,0,3
"Central African Republic",31,11,0,4
"Central African Republic",32,12,0,4
"Central African Republic",33,12,0,4
"Central African Republic",34,12,0,4
"Central African Republic",35,12,0,4
"Central African Republic",36,12,0,4
"Central African Republic",37,12,0,4
"Central African Republic",38,14,0,10
"Central African Republic",39,14,0,10
"Central African Republic",40,16,0,10
"Central African Republic",41,16,0,10
"Central African Republic",42,16,0,10
"Central African Republic",43,19,0,10
"Central African Republic",44,19,0,10
"Central African Republic",45,50,0,10
"Central African Republic",46,50,0,10
"Central African Republic",47,50,0,10
"Central African Republic",48,72,0,10
"Central African Republic",49,72,0,10
"Central African Republic",50,72,0,10
"Central African Republic",51,85,0,10
"Central African Republic",52,85,0,10
