"Country","Day","Confirmed","Deaths","Recovered"
"Chad",1,1,0,0
"Chad",2,1,0,0
"Chad",3,1,0,0
"Chad",4,1,0,0
"Chad",5,1,0,0
"Chad",6,3,0,0
"Chad",7,3,0,0
"Chad",8,3,0,0
"Chad",9,3,0,0
"Chad",10,3,0,0
"Chad",11,3,0,0
"Chad",12,5,0,0
"Chad",13,7,0,0
"Chad",14,7,0,0
"Chad",15,8,0,0
"Chad",16,8,0,0
"Chad",17,9,0,0
"Chad",18,9,0,0
"Chad",19,9,0,0
"Chad",20,10,0,2
"Chad",21,10,0,2
"Chad",22,11,0,2
"Chad",23,11,0,2
"Chad",24,11,0,2
"Chad",25,18,0,2
"Chad",26,23,0,2
"Chad",27,23,0,2
"Chad",28,23,0,2
"Chad",29,27,0,5
"Chad",30,27,0,5
"Chad",31,33,0,8
"Chad",32,33,0,8
"Chad",33,33,0,8
"Chad",34,33,0,8
"Chad",35,33,0,8
"Chad",36,33,0,8
"Chad",37,40,0,8
"Chad",38,46,0,15
"Chad",39,46,0,15
"Chad",40,46,0,15
"Chad",41,52,2,19
"Chad",42,52,2,19
"Chad",43,73,5,33
"Chad",44,73,5,33
"Chad",45,117,10,39
"Chad",46,117,10,39
"Chad",47,117,10,39
"Chad",48,170,17,43
"Chad",49,170,17,43
"Chad",50,253,27,50
"Chad",51,260,28,50
"Chad",52,322,31,53
"Chad",53,322,31,53
"Chad",54,322,31,53
"Chad",55,357,40,76
"Chad",56,372,42,78
