"Country","Day","Confirmed","Deaths","Recovered"
"Chile",1,1,0,0
"Chile",2,1,0,0
"Chile",3,4,0,0
"Chile",4,4,0,0
"Chile",5,4,0,0
"Chile",6,8,0,0
"Chile",7,8,0,0
"Chile",8,13,0,0
"Chile",9,23,0,0
"Chile",10,23,0,0
"Chile",11,43,0,0
"Chile",12,61,0,0
"Chile",13,74,0,0
"Chile",14,155,0,0
"Chile",15,201,0,0
"Chile",16,238,0,0
"Chile",17,238,0,0
"Chile",18,434,0,6
"Chile",19,537,0,6
"Chile",20,632,1,8
"Chile",21,746,2,11
"Chile",22,922,2,17
"Chile",23,1142,3,22
"Chile",24,1306,4,22
"Chile",25,1610,5,43
"Chile",26,1909,6,61
"Chile",27,2139,7,75
"Chile",28,2449,8,156
