"Country","Day","Confirmed","Deaths","Recovered"
"Congo (Brazzaville)",1,1,0,0
"Congo (Brazzaville)",2,1,0,0
"Congo (Brazzaville)",3,1,0,0
"Congo (Brazzaville)",4,1,0,0
"Congo (Brazzaville)",5,3,0,0
"Congo (Brazzaville)",6,3,0,0
"Congo (Brazzaville)",7,3,0,0
"Congo (Brazzaville)",8,3,0,0
"Congo (Brazzaville)",9,4,0,0
"Congo (Brazzaville)",10,4,0,0
"Congo (Brazzaville)",11,4,0,0
"Congo (Brazzaville)",12,4,0,0
"Congo (Brazzaville)",13,4,0,0
"Congo (Brazzaville)",14,4,0,0
"Congo (Brazzaville)",15,19,0,0
"Congo (Brazzaville)",16,19,0,0
"Congo (Brazzaville)",17,19,0,0
"Congo (Brazzaville)",18,19,0,0
"Congo (Brazzaville)",19,22,2,2
"Congo (Brazzaville)",20,22,2,2
"Congo (Brazzaville)",21,22,2,2
"Congo (Brazzaville)",22,45,5,2
"Congo (Brazzaville)",23,45,5,2
"Congo (Brazzaville)",24,45,5,2
"Congo (Brazzaville)",25,45,5,2
"Congo (Brazzaville)",26,60,5,5
"Congo (Brazzaville)",27,60,5,5
"Congo (Brazzaville)",28,60,5,5
"Congo (Brazzaville)",29,60,5,5
"Congo (Brazzaville)",30,60,5,5
"Congo (Brazzaville)",31,60,5,5
"Congo (Brazzaville)",32,117,5,11
"Congo (Brazzaville)",33,117,5,11
"Congo (Brazzaville)",34,143,6,11
"Congo (Brazzaville)",35,143,6,11
"Congo (Brazzaville)",36,143,6,11
"Congo (Brazzaville)",37,160,6,16
"Congo (Brazzaville)",38,165,6,16
"Congo (Brazzaville)",39,186,6,16
"Congo (Brazzaville)",40,186,6,16
"Congo (Brazzaville)",41,200,6,19
"Congo (Brazzaville)",42,200,6,19
"Congo (Brazzaville)",43,200,6,19
"Congo (Brazzaville)",44,200,6,19
"Congo (Brazzaville)",45,207,8,19
"Congo (Brazzaville)",46,207,8,19
"Congo (Brazzaville)",47,220,9,19
"Congo (Brazzaville)",48,229,9,25
"Congo (Brazzaville)",49,229,9,25
"Congo (Brazzaville)",50,229,9,25
"Congo (Brazzaville)",51,236,10,26
"Congo (Brazzaville)",52,236,10,26
