"Country","Day","Confirmed","Deaths","Recovered"
"Congo (Kinshasa)",1,1,0,0
"Congo (Kinshasa)",2,1,0,0
"Congo (Kinshasa)",3,2,0,0
"Congo (Kinshasa)",4,2,0,0
"Congo (Kinshasa)",5,2,0,0
"Congo (Kinshasa)",6,2,0,0
"Congo (Kinshasa)",7,3,0,0
"Congo (Kinshasa)",8,4,0,0
"Congo (Kinshasa)",9,14,0,0
"Congo (Kinshasa)",10,18,0,0
"Congo (Kinshasa)",11,23,1,0
"Congo (Kinshasa)",12,30,1,0
"Congo (Kinshasa)",13,36,1,0
"Congo (Kinshasa)",14,45,2,0
"Congo (Kinshasa)",15,48,2,0
"Congo (Kinshasa)",16,51,3,0
"Congo (Kinshasa)",17,51,3,2
"Congo (Kinshasa)",18,65,6,2
"Congo (Kinshasa)",19,65,6,2
"Congo (Kinshasa)",20,81,8,2
"Congo (Kinshasa)",21,98,8,2
"Congo (Kinshasa)",22,109,9,3
"Congo (Kinshasa)",23,134,13,3
"Congo (Kinshasa)",24,134,13,3
"Congo (Kinshasa)",25,154,18,3
"Congo (Kinshasa)",26,154,18,3
"Congo (Kinshasa)",27,161,18,5
"Congo (Kinshasa)",28,180,18,9
"Congo (Kinshasa)",29,180,18,9
"Congo (Kinshasa)",30,180,18,9
"Congo (Kinshasa)",31,215,20,13
"Congo (Kinshasa)",32,223,20,16
"Congo (Kinshasa)",33,234,20,16
"Congo (Kinshasa)",34,235,20,17
"Congo (Kinshasa)",35,241,20,20
"Congo (Kinshasa)",36,254,21,21
"Congo (Kinshasa)",37,267,22,23
"Congo (Kinshasa)",38,287,23,25
"Congo (Kinshasa)",39,307,25,26
"Congo (Kinshasa)",40,327,25,26
"Congo (Kinshasa)",41,332,25,27
"Congo (Kinshasa)",42,350,25,35
"Congo (Kinshasa)",43,359,25,45
"Congo (Kinshasa)",44,377,25,47
"Congo (Kinshasa)",45,394,25,48
"Congo (Kinshasa)",46,416,28,49
"Congo (Kinshasa)",47,442,28,50
"Congo (Kinshasa)",48,459,28,50
"Congo (Kinshasa)",49,471,30,56
"Congo (Kinshasa)",50,491,30,59
"Congo (Kinshasa)",51,572,31,73
"Congo (Kinshasa)",52,604,32,75
"Congo (Kinshasa)",53,674,33,75
"Congo (Kinshasa)",54,674,33,75
"Congo (Kinshasa)",55,682,34,80
"Congo (Kinshasa)",56,705,34,90
