"Country","Day","Confirmed","Deaths","Recovered"
"Costa Rica",1,1,0,0
"Costa Rica",2,1,0,0
"Costa Rica",3,5,0,0
"Costa Rica",4,9,0,0
"Costa Rica",5,9,0,0
"Costa Rica",6,13,0,0
"Costa Rica",7,22,0,0
"Costa Rica",8,23,0,0
"Costa Rica",9,26,0,0
"Costa Rica",10,27,0,0
"Costa Rica",11,35,0,0
"Costa Rica",12,41,0,0
"Costa Rica",13,50,0,0
"Costa Rica",14,69,1,0
"Costa Rica",15,89,1,0
"Costa Rica",16,117,2,2
"Costa Rica",17,134,2,2
"Costa Rica",18,158,2,2
"Costa Rica",19,177,2,2
"Costa Rica",20,201,2,2
"Costa Rica",21,231,2,2
"Costa Rica",22,263,2,3
"Costa Rica",23,295,2,3
"Costa Rica",24,314,2,3
"Costa Rica",25,330,2,4
"Costa Rica",26,347,2,4
"Costa Rica",27,375,2,4
"Costa Rica",28,396,2,6
"Costa Rica",29,416,2,11
"Costa Rica",30,435,2,13
"Costa Rica",31,454,2,16
"Costa Rica",32,467,2,18
"Costa Rica",33,483,2,24
"Costa Rica",34,502,3,29
"Costa Rica",35,539,3,30
"Costa Rica",36,558,3,42
"Costa Rica",37,577,3,49
"Costa Rica",38,595,3,56
"Costa Rica",39,612,3,62
"Costa Rica",40,618,3,66
"Costa Rica",41,626,4,67
"Costa Rica",42,642,4,74
"Costa Rica",43,649,4,88
"Costa Rica",44,655,4,97
"Costa Rica",45,660,5,112
"Costa Rica",46,662,6,124
"Costa Rica",47,669,6,150
"Costa Rica",48,681,6,180
"Costa Rica",49,686,6,196
"Costa Rica",50,687,6,216
"Costa Rica",51,693,6,242
"Costa Rica",52,695,6,264
"Costa Rica",53,697,6,287
"Costa Rica",54,705,6,306
"Costa Rica",55,713,6,323
"Costa Rica",56,719,6,338
"Costa Rica",57,725,6,355
"Costa Rica",58,733,6,372
"Costa Rica",59,739,6,386
"Costa Rica",60,742,6,399
"Costa Rica",61,755,6,413
"Costa Rica",62,761,6,428
"Costa Rica",63,765,6,445
"Costa Rica",64,773,6,461
"Costa Rica",65,780,6,480
"Costa Rica",66,792,7,501
"Costa Rica",67,801,7,517
"Costa Rica",68,804,7,520
"Costa Rica",69,815,8,527
