"Country","Day","Confirmed","Deaths","Recovered"
"Croatia",1,1,0,0
"Croatia",2,3,0,0
"Croatia",3,3,0,0
"Croatia",4,5,0,0
"Croatia",5,6,0,0
"Croatia",6,7,0,0
"Croatia",7,7,0,0
"Croatia",8,9,0,0
"Croatia",9,10,0,0
"Croatia",10,10,0,0
"Croatia",11,11,0,0
"Croatia",12,12,0,0
"Croatia",13,12,0,0
"Croatia",14,12,0,0
"Croatia",15,14,0,0
"Croatia",16,19,0,0
"Croatia",17,19,0,0
"Croatia",18,32,0,1
"Croatia",19,38,0,1
"Croatia",20,49,0,1
"Croatia",21,57,0,2
"Croatia",22,65,0,4
"Croatia",23,81,0,4
"Croatia",24,105,1,5
"Croatia",25,128,1,5
"Croatia",26,206,1,5
"Croatia",27,254,1,5
"Croatia",28,315,1,5
"Croatia",29,382,1,5
"Croatia",30,442,1,22
"Croatia",31,495,3,22
"Croatia",32,586,3,37
"Croatia",33,657,5,45
"Croatia",34,713,6,52
"Croatia",35,790,6,67
"Croatia",36,867,6,67
"Croatia",37,963,6,73
"Croatia",38,1011,7,88
"Croatia",39,1079,8,92
"Croatia",40,1126,12,119
"Croatia",41,1182,15,125
"Croatia",42,1222,16,130
"Croatia",43,1282,18,167
"Croatia",44,1343,19,179
"Croatia",45,1407,20,219
"Croatia",46,1495,21,231
"Croatia",47,1534,21,323
"Croatia",48,1600,23,373
"Croatia",49,1650,25,400
"Croatia",50,1704,31,415
"Croatia",51,1741,33,473
"Croatia",52,1791,35,529
"Croatia",53,1814,36,600
"Croatia",54,1832,39,615
"Croatia",55,1871,47,709
"Croatia",56,1881,47,771
"Croatia",57,1908,48,801
"Croatia",58,1950,48,869
"Croatia",59,1981,50,883
"Croatia",60,2009,51,982
"Croatia",61,2016,54,1034
"Croatia",62,2030,55,1103
"Croatia",63,2039,59,1166
"Croatia",64,2047,63,1232
"Croatia",65,2062,67,1288
"Croatia",66,2076,69,1348
"Croatia",67,2085,75,1421
"Croatia",68,2088,77,1463
"Croatia",69,2096,79,1489
"Croatia",70,2101,80,1522
"Croatia",71,2112,83,1560
