"Country","Day","Confirmed","Deaths","Recovered"
"Cuba",1,3,0,0
"Cuba",2,4,0,0
"Cuba",3,4,0,0
"Cuba",4,4,0,0
"Cuba",5,4,0,0
"Cuba",6,5,0,0
"Cuba",7,7,1,0
"Cuba",8,11,1,0
"Cuba",9,16,1,0
"Cuba",10,21,1,0
"Cuba",11,35,1,0
"Cuba",12,40,1,0
"Cuba",13,48,1,1
"Cuba",14,57,1,1
"Cuba",15,67,2,1
"Cuba",16,80,2,4
"Cuba",17,119,3,4
"Cuba",18,139,3,4
"Cuba",19,170,4,4
"Cuba",20,186,6,8
"Cuba",21,212,6,12
"Cuba",22,233,6,13
"Cuba",23,269,6,15
"Cuba",24,288,6,15
"Cuba",25,320,8,15
"Cuba",26,350,9,18
"Cuba",27,396,11,27
"Cuba",28,457,12,27
"Cuba",29,515,15,28
"Cuba",30,564,15,51
"Cuba",31,620,16,77
"Cuba",32,669,18,92
"Cuba",33,726,21,121
"Cuba",34,766,21,132
"Cuba",35,814,24,151
"Cuba",36,862,27,171
"Cuba",37,923,31,192
"Cuba",38,986,32,227
"Cuba",39,1035,34,255
"Cuba",40,1087,36,285
"Cuba",41,1137,38,309
"Cuba",42,1189,40,341
"Cuba",43,1235,43,365
"Cuba",44,1285,49,416
"Cuba",45,1337,51,437
"Cuba",46,1369,54,501
"Cuba",47,1389,56,525
"Cuba",48,1437,58,575
"Cuba",49,1467,58,617
"Cuba",50,1501,61,681
"Cuba",51,1537,64,714
"Cuba",52,1611,66,765
"Cuba",53,1649,67,827
"Cuba",54,1668,69,876
"Cuba",55,1685,69,954
"Cuba",56,1703,69,1001
"Cuba",57,1729,73,1031
"Cuba",58,1741,74,1078
"Cuba",59,1754,74,1140
"Cuba",60,1766,77,1193
"Cuba",61,1783,77,1229
"Cuba",62,1804,78,1277
"Cuba",63,1810,79,1326
