"Country","Day","Confirmed","Deaths","Recovered"
"Denmark",1,1,0,0
"Denmark",2,1,0,0
"Denmark",3,3,0,0
"Denmark",4,4,0,0
"Denmark",5,4,0,0
"Denmark",6,6,0,0
"Denmark",7,10,0,0
"Denmark",8,10,0,0
"Denmark",9,23,0,1
"Denmark",10,23,0,1
"Denmark",11,35,0,1
"Denmark",12,90,0,1
"Denmark",13,262,0,1
"Denmark",14,444,0,1
"Denmark",15,617,0,1
"Denmark",16,804,0,1
"Denmark",17,836,1,1
"Denmark",18,875,2,1
"Denmark",19,932,3,1
"Denmark",20,1024,4,1
"Denmark",21,1115,4,1
"Denmark",22,1225,6,1
"Denmark",23,1337,9,1
"Denmark",24,1420,13,1
"Denmark",25,1514,13,4
"Denmark",26,1572,24,24
"Denmark",27,1718,32,36
"Denmark",28,1862,34,41
"Denmark",29,2023,41,50
"Denmark",30,2200,52,57
"Denmark",31,2366,65,57
"Denmark",32,2564,72,73
"Denmark",33,2755,77,73
"Denmark",34,3039,90,77
"Denmark",35,3290,104,971
"Denmark",36,3573,123,1172
"Denmark",37,3946,139,1287
"Denmark",38,4269,161,1379
"Denmark",39,4561,179,1429
"Denmark",40,4875,187,1489
"Denmark",41,5266,203,1621
"Denmark",42,5597,218,1763
"Denmark",43,5830,237,1883
"Denmark",44,6014,247,1929
"Denmark",45,6191,260,2111
"Denmark",46,6369,273,2291
"Denmark",47,6513,285,2403
"Denmark",48,6706,299,2689
"Denmark",49,6876,309,2925
"Denmark",50,7074,321,3203
"Denmark",51,7268,336,3571
"Denmark",52,7437,346,4031
"Denmark",53,7580,355,4328
"Denmark",54,7711,364,4499
"Denmark",55,7891,370,4889
"Denmark",56,8108,384,5276
"Denmark",57,8271,394,5573
"Denmark",58,8408,403,5715
"Denmark",59,8643,418,5858
"Denmark",60,8773,422,5994
"Denmark",61,8896,427,6148
"Denmark",62,9049,434,6313
"Denmark",63,9206,443,6558
"Denmark",64,9356,452,6741
"Denmark",65,9509,460,6924
"Denmark",66,9605,475,7084
"Denmark",67,9721,484,7183
"Denmark",68,9868,493,7284
"Denmark",69,10019,503,7492
"Denmark",70,10136,506,7689
"Denmark",71,10281,514,7907
"Denmark",72,10416,522,8125
"Denmark",73,10517,526,8291
"Denmark",74,10627,529,8415
"Denmark",75,10711,533,8526
"Denmark",76,10789,527,8778
"Denmark",77,10865,533,8861
