"Country","Day","Confirmed","Deaths","Recovered"
"Djibouti",1,1,0,0
"Djibouti",2,1,0,0
"Djibouti",3,1,0,0
"Djibouti",4,1,0,0
"Djibouti",5,1,0,0
"Djibouti",6,3,0,0
"Djibouti",7,3,0,0
"Djibouti",8,11,0,0
"Djibouti",9,11,0,0
"Djibouti",10,12,0,0
"Djibouti",11,14,0,0
"Djibouti",12,18,0,0
"Djibouti",13,18,0,0
"Djibouti",14,30,0,0
"Djibouti",15,33,0,0
"Djibouti",16,40,0,0
"Djibouti",17,49,0,8
"Djibouti",18,50,0,8
"Djibouti",19,59,0,9
"Djibouti",20,90,0,9
"Djibouti",21,90,0,9
"Djibouti",22,135,0,25
"Djibouti",23,135,0,25
"Djibouti",24,150,1,36
"Djibouti",25,187,2,36
"Djibouti",26,214,2,36
"Djibouti",27,298,2,41
"Djibouti",28,363,2,53
"Djibouti",29,435,2,71
"Djibouti",30,591,2,73
"Djibouti",31,732,2,76
"Djibouti",32,732,2,76
"Djibouti",33,846,2,102
"Djibouti",34,846,2,102
"Djibouti",35,945,2,112
"Djibouti",36,974,2,183
"Djibouti",37,986,2,252
"Djibouti",38,999,2,330
"Djibouti",39,1008,2,373
"Djibouti",40,1023,2,411
"Djibouti",41,1035,2,477
"Djibouti",42,1072,2,498
"Djibouti",43,1077,2,599
"Djibouti",44,1089,2,642
"Djibouti",45,1097,2,672
"Djibouti",46,1112,2,686
"Djibouti",47,1112,2,686
"Djibouti",48,1116,2,713
"Djibouti",49,1120,2,745
