"Country","Day","Confirmed","Deaths","Recovered"
"Dominican Republic",1,1,0,0
"Dominican Republic",2,1,0,0
"Dominican Republic",3,1,0,0
"Dominican Republic",4,1,0,0
"Dominican Republic",5,1,0,0
"Dominican Republic",6,2,0,0
"Dominican Republic",7,2,0,0
"Dominican Republic",8,5,0,0
"Dominican Republic",9,5,0,0
"Dominican Republic",10,5,0,0
"Dominican Republic",11,5,0,0
"Dominican Republic",12,5,0,0
"Dominican Republic",13,5,0,0
"Dominican Republic",14,11,0,0
"Dominican Republic",15,11,0,0
"Dominican Republic",16,11,0,0
"Dominican Republic",17,21,1,0
"Dominican Republic",18,21,1,0
"Dominican Republic",19,34,2,0
"Dominican Republic",20,72,2,0
"Dominican Republic",21,112,2,0
"Dominican Republic",22,202,3,0
"Dominican Republic",23,245,3,3
"Dominican Republic",24,312,6,3
"Dominican Republic",25,392,10,3
"Dominican Republic",26,488,10,3
"Dominican Republic",27,581,20,3
"Dominican Republic",28,719,28,3
"Dominican Republic",29,859,39,3
"Dominican Republic",30,901,42,4
"Dominican Republic",31,1109,51,5
"Dominican Republic",32,1284,57,9
"Dominican Republic",33,1380,60,16
"Dominican Republic",34,1488,68,16
"Dominican Republic",35,1488,68,16
"Dominican Republic",36,1745,82,17
"Dominican Republic",37,1828,86,33
"Dominican Republic",38,1956,98,36
"Dominican Republic",39,2111,108,50
"Dominican Republic",40,2349,118,80
"Dominican Republic",41,2620,126,98
"Dominican Republic",42,2759,135,108
"Dominican Republic",43,2967,173,131
"Dominican Republic",44,3167,177,152
"Dominican Republic",45,3286,183,162
"Dominican Republic",46,3614,189,208
"Dominican Republic",47,3755,196,215
"Dominican Republic",48,4126,200,268
"Dominican Republic",49,4335,217,312
"Dominican Republic",50,4680,226,363
"Dominican Republic",51,4964,235,416
"Dominican Republic",52,5044,245,463
"Dominican Republic",53,5300,260,581
"Dominican Republic",54,5543,265,581
"Dominican Republic",55,5749,267,763
"Dominican Republic",56,5926,273,822
"Dominican Republic",57,6135,278,910
"Dominican Republic",58,6293,282,993
"Dominican Republic",59,6416,286,1165
"Dominican Republic",60,6652,293,1228
"Dominican Republic",61,6972,301,1301
"Dominican Republic",62,7288,313,1387
"Dominican Republic",63,7578,326,1481
"Dominican Republic",64,7954,333,1606
"Dominican Republic",65,8235,346,1771
"Dominican Republic",66,8480,354,1905
