"Country","Day","Confirmed","Deaths","Recovered"
"Ecuador",1,6,0,0
"Ecuador",2,6,0,0
"Ecuador",3,7,0,0
"Ecuador",4,10,0,0
"Ecuador",5,13,0,0
"Ecuador",6,13,0,0
"Ecuador",7,13,0,0
"Ecuador",8,14,0,0
"Ecuador",9,15,0,0
"Ecuador",10,15,0,0
"Ecuador",11,17,0,0
"Ecuador",12,17,0,0
"Ecuador",13,17,0,0
"Ecuador",14,28,2,0
"Ecuador",15,28,2,0
"Ecuador",16,37,2,0
"Ecuador",17,58,2,0
"Ecuador",18,111,2,0
"Ecuador",19,199,3,0
"Ecuador",20,367,5,0
"Ecuador",21,506,7,3
"Ecuador",22,789,14,3
"Ecuador",23,981,18,3
"Ecuador",24,1082,27,3
"Ecuador",25,1173,28,3
"Ecuador",26,1403,34,3
"Ecuador",27,1595,36,3
"Ecuador",28,1823,48,3
"Ecuador",29,1924,58,3
"Ecuador",30,1962,60,3
"Ecuador",31,2240,75,54
"Ecuador",32,2748,93,58
"Ecuador",33,3163,120,65
"Ecuador",34,3368,145,65
"Ecuador",35,3465,172,100
"Ecuador",36,3646,180,100
"Ecuador",37,3747,191,100
"Ecuador",38,3747,191,100
"Ecuador",39,4450,242,140
"Ecuador",40,4965,272,339
"Ecuador",41,7161,297,368
"Ecuador",42,7257,315,411
"Ecuador",43,7466,333,501
"Ecuador",44,7529,355,597
"Ecuador",45,7603,369,696
"Ecuador",46,7858,388,780
"Ecuador",47,8225,403,838
"Ecuador",48,8450,421,838
"Ecuador",49,9022,456,1008
"Ecuador",50,9468,474,1061
"Ecuador",51,10128,507,1150
"Ecuador",52,10398,520,1207
"Ecuador",53,10850,537,1262
"Ecuador",54,11183,560,1328
"Ecuador",55,22719,576,1366
"Ecuador",56,22719,576,1366
"Ecuador",57,22719,576,1366
"Ecuador",58,23240,663,1557
"Ecuador",59,24258,871,1557
"Ecuador",60,24675,883,1557
"Ecuador",61,24934,900,1558
"Ecuador",62,26336,1063,1913
"Ecuador",63,27464,1371,2132
"Ecuador",64,29538,1564,3300
"Ecuador",65,31881,1569,3433
"Ecuador",66,31881,1569,3433
"Ecuador",67,31881,1618,3433
"Ecuador",68,30298,1654,3433
"Ecuador",69,28818,1704,3433
"Ecuador",70,29071,1717,3433
"Ecuador",71,29559,2127,3433
"Ecuador",72,29509,2145,3433
"Ecuador",73,30419,2327,3433
"Ecuador",74,30486,2334,3433
