"Country","Day","Confirmed","Deaths","Recovered"
"El Salvador",1,1,0,0
"El Salvador",2,1,0,0
"El Salvador",3,3,0,0
"El Salvador",4,3,0,0
"El Salvador",5,3,0,0
"El Salvador",6,5,0,0
"El Salvador",7,9,0,0
"El Salvador",8,13,0,0
"El Salvador",9,13,0,0
"El Salvador",10,19,0,0
"El Salvador",11,24,0,0
"El Salvador",12,30,0,0
"El Salvador",13,32,1,0
"El Salvador",14,32,1,0
"El Salvador",15,41,2,0
"El Salvador",16,46,2,0
"El Salvador",17,56,3,2
"El Salvador",18,62,3,2
"El Salvador",19,69,4,5
"El Salvador",20,78,4,5
"El Salvador",21,93,5,9
"El Salvador",22,103,6,14
"El Salvador",23,117,6,15
"El Salvador",24,118,6,19
"El Salvador",25,125,6,21
"El Salvador",26,137,6,22
"El Salvador",27,149,6,25
"El Salvador",28,159,6,30
"El Salvador",29,164,6,33
"El Salvador",30,177,7,38
"El Salvador",31,190,7,43
"El Salvador",32,201,7,44
"El Salvador",33,218,7,46
"El Salvador",34,225,7,48
"El Salvador",35,237,7,63
"El Salvador",36,250,8,67
"El Salvador",37,274,8,75
"El Salvador",38,274,8,75
"El Salvador",39,298,8,83
"El Salvador",40,323,8,89
"El Salvador",41,345,8,97
"El Salvador",42,377,9,106
"El Salvador",43,395,10,119
"El Salvador",44,424,10,124
"El Salvador",45,446,11,141
"El Salvador",46,490,11,154
"El Salvador",47,555,13,180
"El Salvador",48,587,14,205
"El Salvador",49,633,15,219
"El Salvador",50,695,15,252
"El Salvador",51,742,16,257
"El Salvador",52,784,17,276
"El Salvador",53,889,17,293
"El Salvador",54,958,18,325
"El Salvador",55,998,20,349
"El Salvador",56,1037,20,374
