"Country","Day","Confirmed","Deaths","Recovered"
"Equatorial Guinea",1,1,0,0
"Equatorial Guinea",2,1,0,0
"Equatorial Guinea",3,1,0,0
"Equatorial Guinea",4,4,0,0
"Equatorial Guinea",5,6,0,0
"Equatorial Guinea",6,6,0,0
"Equatorial Guinea",7,6,0,0
"Equatorial Guinea",8,6,0,0
"Equatorial Guinea",9,9,0,0
"Equatorial Guinea",10,9,0,0
"Equatorial Guinea",11,9,0,0
"Equatorial Guinea",12,12,0,0
"Equatorial Guinea",13,12,0,0
"Equatorial Guinea",14,12,0,0
"Equatorial Guinea",15,12,0,0
"Equatorial Guinea",16,12,0,0
"Equatorial Guinea",17,12,0,1
"Equatorial Guinea",18,15,0,1
"Equatorial Guinea",19,15,0,1
"Equatorial Guinea",20,16,0,1
"Equatorial Guinea",21,16,0,1
"Equatorial Guinea",22,16,0,1
"Equatorial Guinea",23,16,0,3
"Equatorial Guinea",24,16,0,3
"Equatorial Guinea",25,18,0,3
"Equatorial Guinea",26,18,0,3
"Equatorial Guinea",27,18,0,3
"Equatorial Guinea",28,18,0,3
"Equatorial Guinea",29,21,0,3
"Equatorial Guinea",30,21,0,4
"Equatorial Guinea",31,41,0,4
"Equatorial Guinea",32,51,0,4
"Equatorial Guinea",33,51,0,4
"Equatorial Guinea",34,79,0,4
"Equatorial Guinea",35,79,0,4
"Equatorial Guinea",36,79,0,4
"Equatorial Guinea",37,79,0,7
"Equatorial Guinea",38,83,0,7
"Equatorial Guinea",39,84,1,7
"Equatorial Guinea",40,84,1,7
"Equatorial Guinea",41,214,1,7
"Equatorial Guinea",42,258,1,7
"Equatorial Guinea",43,258,1,8
"Equatorial Guinea",44,258,1,9
"Equatorial Guinea",45,315,1,9
"Equatorial Guinea",46,315,1,9
"Equatorial Guinea",47,315,1,9
"Equatorial Guinea",48,315,1,9
"Equatorial Guinea",49,315,1,9
"Equatorial Guinea",50,315,1,9
"Equatorial Guinea",51,315,3,13
"Equatorial Guinea",52,315,3,13
