"Country","Day","Confirmed","Deaths","Recovered"
"France",1,2,0,0
"France",2,3,0,0
"France",3,3,0,0
"France",4,3,0,0
"France",5,4,0,0
"France",6,5,0,0
"France",7,5,0,0
"France",8,5,0,0
"France",9,6,0,0
"France",10,6,0,0
"France",11,6,0,0
"France",12,6,0,0
"France",13,6,0,0
"France",14,6,0,0
"France",15,6,0,0
"France",16,11,0,0
"France",17,11,0,0
"France",18,11,0,0
"France",19,11,0,0
"France",20,11,0,2
"France",21,11,0,2
"France",22,11,0,2
"France",23,12,1,4
"France",24,12,1,4
"France",25,12,1,4
"France",26,12,1,4
"France",27,12,1,4
"France",28,12,1,4
"France",29,12,1,4
"France",30,12,1,4
"France",31,12,1,4
"France",32,12,1,4
"France",33,14,1,11
"France",34,18,2,11
"France",35,38,2,11
"France",36,57,2,11
"France",37,100,2,12
"France",38,130,2,12
"France",39,191,3,12
"France",40,204,4,12
"France",41,285,4,12
"France",42,377,6,12
"France",43,653,9,12
"France",44,949,11,12
"France",45,1126,19,12
"France",46,1209,19,12
"France",47,1784,33,12
"France",48,2284,48,12
"France",49,2284,48,12
"France",50,3667,79,12
"France",51,4480,91,12
"France",52,4513,91,12
"France",53,6650,148,12
