"Country","Day","Confirmed","Deaths","Recovered"
"Georgia",1,1,0,0
"Georgia",2,1,0,0
"Georgia",3,1,0,0
"Georgia",4,1,0,0
"Georgia",5,3,0,0
"Georgia",6,3,0,0
"Georgia",7,3,0,0
"Georgia",8,3,0,0
"Georgia",9,4,0,0
"Georgia",10,4,0,0
"Georgia",11,4,0,0
"Georgia",12,13,0,0
"Georgia",13,15,0,0
"Georgia",14,15,0,0
"Georgia",15,24,0,0
"Georgia",16,24,0,0
"Georgia",17,25,0,0
"Georgia",18,30,0,0
"Georgia",19,33,0,0
"Georgia",20,33,0,1
"Georgia",21,34,0,1
"Georgia",22,38,0,1
"Georgia",23,40,0,1
"Georgia",24,43,0,1
"Georgia",25,49,0,1
"Georgia",26,54,0,3
