"Country","Day","Confirmed"
"Germany",7,4
"Germany",8,4
"Germany",9,4
"Germany",10,5
"Germany",11,8
"Germany",12,10
"Germany",13,12
"Germany",14,12
"Germany",15,12
"Germany",16,12
"Germany",17,13
"Germany",18,13
"Germany",19,14
"Germany",20,14
"Germany",21,16
"Germany",22,16
"Germany",23,16
"Germany",24,16
"Germany",25,16
"Germany",26,16
"Germany",27,16
"Germany",28,16
"Germany",29,16
"Germany",30,16
"Germany",31,16
"Germany",32,16
"Germany",33,16
"Germany",34,16
"Germany",35,17
"Germany",36,27
"Germany",37,46
"Germany",38,48
"Germany",39,79
"Germany",40,130
"Germany",41,159
"Germany",42,196
"Germany",43,262
"Germany",44,482
"Germany",45,670
"Germany",46,799
"Germany",47,1040
"Germany",48,1176
"Germany",49,1457
"Germany",50,1908
