"Country","Day","Confirmed","Deaths","Recovered"
"Ghana",1,3,0,0
"Ghana",2,6,0,0
"Ghana",3,6,0,0
"Ghana",4,7,0,0
"Ghana",5,7,0,0
"Ghana",6,11,0,0
"Ghana",7,16,0,0
"Ghana",8,19,1,0
"Ghana",9,23,1,0
"Ghana",10,27,2,0
"Ghana",11,53,2,0
"Ghana",12,93,4,0
"Ghana",13,132,4,1
"Ghana",14,137,4,2
"Ghana",15,141,5,2
"Ghana",16,152,5,2
"Ghana",17,152,5,2
"Ghana",18,161,5,31
"Ghana",19,195,5,31
"Ghana",20,204,5,31
"Ghana",21,205,5,31
"Ghana",22,205,5,31
"Ghana",23,214,5,31
"Ghana",24,214,5,31
"Ghana",25,287,5,31
"Ghana",26,313,6,34
"Ghana",27,378,6,3
"Ghana",28,378,6,4
"Ghana",29,408,8,4
"Ghana",30,566,8,4
"Ghana",31,566,8,4
"Ghana",32,636,8,17
"Ghana",33,636,8,17
"Ghana",34,641,8,83
"Ghana",35,641,8,83
"Ghana",36,834,9,99
"Ghana",37,1042,9,99
"Ghana",38,1042,9,99
"Ghana",39,1042,9,99
"Ghana",40,1154,9,99
"Ghana",41,1154,9,99
"Ghana",42,1279,10,134
"Ghana",43,1279,10,134
"Ghana",44,1550,11,155
"Ghana",45,1550,11,155
"Ghana",46,1671,16,188
"Ghana",47,1671,16,188
"Ghana",48,2074,17,212
"Ghana",49,2074,17,212
"Ghana",50,2169,18,229
"Ghana",51,2169,18,229
"Ghana",52,2719,18,294
"Ghana",53,2719,18,294
