"Country","Day","Confirmed","Deaths","Recovered"
"Greece",1,1,0,0
"Greece",2,3,0,0
"Greece",3,4,0,0
"Greece",4,4,0,0
"Greece",5,7,0,0
"Greece",6,7,0,0
"Greece",7,7,0,0
"Greece",8,9,0,0
"Greece",9,31,0,0
"Greece",10,45,0,0
"Greece",11,46,0,0
"Greece",12,73,0,0
"Greece",13,73,0,0
"Greece",14,89,0,0
"Greece",15,99,1,0
"Greece",16,99,1,0
"Greece",17,190,1,0
"Greece",18,228,3,8
"Greece",19,331,4,8
"Greece",20,331,4,8
"Greece",21,387,5,8
"Greece",22,418,5,8
"Greece",23,418,6,8
"Greece",24,495,6,19
"Greece",25,530,13,19
