"Country","Day","Confirmed","Deaths","Recovered"
"Guatemala",1,1,0,0
"Guatemala",2,1,0,0
"Guatemala",3,2,1,0
"Guatemala",4,6,1,0
"Guatemala",5,6,1,0
"Guatemala",6,9,1,0
"Guatemala",7,12,1,0
"Guatemala",8,17,1,0
"Guatemala",9,19,1,0
"Guatemala",10,20,1,0
"Guatemala",11,21,1,0
"Guatemala",12,24,1,4
"Guatemala",13,25,1,4
"Guatemala",14,28,1,4
"Guatemala",15,34,1,10
"Guatemala",16,34,1,10
"Guatemala",17,36,1,10
"Guatemala",18,38,1,12
"Guatemala",19,39,1,12
"Guatemala",20,47,1,12
"Guatemala",21,50,1,12
"Guatemala",22,61,2,15
"Guatemala",23,61,2,15
"Guatemala",24,70,3,15
"Guatemala",25,77,3,17
"Guatemala",26,87,3,17
"Guatemala",27,95,3,17
"Guatemala",28,126,3,17
"Guatemala",29,137,3,19
"Guatemala",30,155,5,19
"Guatemala",31,156,5,19
"Guatemala",32,167,5,19
"Guatemala",33,180,5,19
"Guatemala",34,196,5,19
"Guatemala",35,214,7,21
"Guatemala",36,235,7,21
"Guatemala",37,257,7,21
"Guatemala",38,289,7,21
"Guatemala",39,294,7,24
"Guatemala",40,316,8,24
"Guatemala",41,384,11,30
"Guatemala",42,430,11,30
"Guatemala",43,473,13,45
"Guatemala",44,500,15,49
"Guatemala",45,530,15,49
"Guatemala",46,530,15,49
"Guatemala",47,557,16,62
"Guatemala",48,599,16,66
"Guatemala",49,644,16,72
"Guatemala",50,688,17,72
"Guatemala",51,703,17,72
"Guatemala",52,730,19,79
"Guatemala",53,763,19,79
"Guatemala",54,798,21,86
"Guatemala",55,832,23,90
"Guatemala",56,900,24,101
"Guatemala",57,967,24,104
"Guatemala",58,1052,26,110
"Guatemala",59,1114,26,111
"Guatemala",60,1199,27,120
"Guatemala",61,1342,29,121
