"Country","Day","Confirmed","Deaths","Recovered"
"Guinea-Bissau",1,2,0,0
"Guinea-Bissau",2,2,0,0
"Guinea-Bissau",3,2,0,0
"Guinea-Bissau",4,2,0,0
"Guinea-Bissau",5,2,0,0
"Guinea-Bissau",6,8,0,0
"Guinea-Bissau",7,8,0,0
"Guinea-Bissau",8,9,0,0
"Guinea-Bissau",9,9,0,0
"Guinea-Bissau",10,15,0,0
"Guinea-Bissau",11,18,0,0
"Guinea-Bissau",12,18,0,0
"Guinea-Bissau",13,18,0,0
"Guinea-Bissau",14,33,0,0
"Guinea-Bissau",15,33,0,0
"Guinea-Bissau",16,36,0,0
"Guinea-Bissau",17,36,0,0
"Guinea-Bissau",18,38,0,0
"Guinea-Bissau",19,38,0,0
"Guinea-Bissau",20,38,0,0
"Guinea-Bissau",21,38,0,0
"Guinea-Bissau",22,43,0,0
"Guinea-Bissau",23,43,0,0
"Guinea-Bissau",24,43,0,0
"Guinea-Bissau",25,46,0,0
"Guinea-Bissau",26,50,0,3
"Guinea-Bissau",27,50,0,3
"Guinea-Bissau",28,50,0,3
"Guinea-Bissau",29,50,0,3
"Guinea-Bissau",30,50,0,3
"Guinea-Bissau",31,52,0,3
"Guinea-Bissau",32,52,0,3
"Guinea-Bissau",33,53,1,3
"Guinea-Bissau",34,73,1,18
"Guinea-Bissau",35,73,1,18
"Guinea-Bissau",36,205,1,19
"Guinea-Bissau",37,205,1,19
"Guinea-Bissau",38,257,1,19
"Guinea-Bissau",39,257,1,19
"Guinea-Bissau",40,257,1,19
"Guinea-Bissau",41,413,1,19
"Guinea-Bissau",42,413,1,19
"Guinea-Bissau",43,475,2,24
"Guinea-Bissau",44,564,2,25
"Guinea-Bissau",45,594,2,25
"Guinea-Bissau",46,641,3,25
"Guinea-Bissau",47,726,3,26
"Guinea-Bissau",48,761,3,26
"Guinea-Bissau",49,820,3,26
"Guinea-Bissau",50,836,3,26
