"Country","Day","Confirmed","Deaths","Recovered"
"Guinea",1,1,0,0
"Guinea",2,1,0,0
"Guinea",3,1,0,0
"Guinea",4,1,0,0
"Guinea",5,1,0,0
"Guinea",6,1,0,0
"Guinea",7,1,0,0
"Guinea",8,1,0,0
"Guinea",9,2,0,0
"Guinea",10,2,0,0
"Guinea",11,4,0,0
"Guinea",12,4,0,0
"Guinea",13,4,0,0
"Guinea",14,4,0,0
"Guinea",15,8,0,0
"Guinea",16,8,0,0
"Guinea",17,16,0,0
"Guinea",18,22,0,0
"Guinea",19,22,0,0
"Guinea",20,30,0,0
"Guinea",21,52,0,0
"Guinea",22,73,0,2
"Guinea",23,111,0,5
"Guinea",24,121,0,5
"Guinea",25,128,0,5
"Guinea",26,144,0,5
"Guinea",27,164,0,5
"Guinea",28,194,0,11
"Guinea",29,212,0,15
"Guinea",30,250,0,17
"Guinea",31,250,0,17
"Guinea",32,319,0,17
"Guinea",33,363,0,31
"Guinea",34,404,1,31
"Guinea",35,438,1,49
"Guinea",36,477,3,59
"Guinea",37,518,3,65
"Guinea",38,579,5,87
"Guinea",39,622,5,122
"Guinea",40,688,6,127
"Guinea",41,761,6,164
"Guinea",42,862,6,170
"Guinea",43,954,6,191
"Guinea",44,996,7,208
"Guinea",45,996,7,208
"Guinea",46,1163,7,246
"Guinea",47,1240,7,269
"Guinea",48,1351,7,313
"Guinea",49,1495,7,329
"Guinea",50,1537,7,342
"Guinea",51,1586,7,405
"Guinea",52,1586,7,405
"Guinea",53,1710,9,450
"Guinea",54,1811,10,498
"Guinea",55,1856,11,597
"Guinea",56,1927,11,629
"Guinea",57,2009,11,663
"Guinea",58,2042,11,698
"Guinea",59,2146,11,714
"Guinea",60,2146,11,714
"Guinea",61,2298,11,816
"Guinea",62,2374,14,856
