"Country","Day","Confirmed","Deaths","Recovered"
"Guyana",1,1,1,0
"Guyana",2,1,1,0
"Guyana",3,1,1,0
"Guyana",4,4,1,0
"Guyana",5,4,1,0
"Guyana",6,7,1,0
"Guyana",7,7,1,0
"Guyana",8,7,1,0
"Guyana",9,7,1,0
"Guyana",10,7,1,0
"Guyana",11,18,1,0
"Guyana",12,20,1,0
"Guyana",13,5,1,0
"Guyana",14,5,1,0
"Guyana",15,5,1,0
"Guyana",16,5,1,0
"Guyana",17,8,1,0
"Guyana",18,8,1,0
"Guyana",19,8,1,0
"Guyana",20,12,2,0
"Guyana",21,19,2,0
"Guyana",22,19,4,0
"Guyana",23,23,4,0
"Guyana",24,23,4,0
"Guyana",25,24,4,0
"Guyana",26,31,4,8
"Guyana",27,33,5,8
"Guyana",28,37,6,8
"Guyana",29,37,6,8
"Guyana",30,37,6,8
"Guyana",31,45,6,8
"Guyana",32,45,6,8
"Guyana",33,45,6,8
"Guyana",34,47,6,8
"Guyana",35,55,6,8
"Guyana",36,55,6,8
"Guyana",37,63,6,9
"Guyana",38,63,6,9
"Guyana",39,65,7,9
"Guyana",40,65,7,9
"Guyana",41,66,7,9
"Guyana",42,67,7,9
"Guyana",43,70,7,9
"Guyana",44,73,7,12
"Guyana",45,73,7,12
"Guyana",46,74,8,12
"Guyana",47,74,8,15
"Guyana",48,74,8,15
"Guyana",49,78,8,18
"Guyana",50,82,9,22
"Guyana",51,82,9,22
"Guyana",52,82,9,22
"Guyana",53,82,9,22
"Guyana",54,92,9,27
"Guyana",55,93,10,27
"Guyana",56,93,10,27
"Guyana",57,93,10,27
"Guyana",58,94,10,35
"Guyana",59,94,10,35
"Guyana",60,104,10,35
"Guyana",61,109,10,36
"Guyana",62,113,10,36
"Guyana",63,113,10,41
