"Country","Day","Confirmed","Deaths","Recovered"
"Haiti",1,2,0,0
"Haiti",2,2,0,0
"Haiti",3,2,0,0
"Haiti",4,6,0,0
"Haiti",5,7,0,0
"Haiti",6,8,0,0
"Haiti",7,8,0,0
"Haiti",8,8,0,0
"Haiti",9,8,0,0
"Haiti",10,15,0,1
"Haiti",11,15,0,1
"Haiti",12,15,0,1
"Haiti",13,16,0,1
"Haiti",14,16,0,1
"Haiti",15,18,0,1
"Haiti",16,20,0,1
"Haiti",17,21,1,1
"Haiti",18,24,1,0
"Haiti",19,25,1,0
"Haiti",20,27,1,0
"Haiti",21,30,2,0
"Haiti",22,31,2,0
"Haiti",23,33,2,0
"Haiti",24,33,3,0
"Haiti",25,40,3,0
"Haiti",26,40,3,0
"Haiti",27,41,3,0
"Haiti",28,41,3,0
"Haiti",29,43,3,0
"Haiti",30,44,3,0
"Haiti",31,47,3,0
"Haiti",32,57,3,0
"Haiti",33,57,3,0
"Haiti",34,62,4,2
"Haiti",35,72,5,2
"Haiti",36,72,6,6
"Haiti",37,72,6,6
"Haiti",38,74,6,7
"Haiti",39,76,6,8
"Haiti",40,76,6,8
"Haiti",41,76,6,8
"Haiti",42,81,8,8
"Haiti",43,85,8,10
"Haiti",44,85,8,10
"Haiti",45,88,9,10
"Haiti",46,100,11,10
"Haiti",47,101,12,10
