"Country","Day","Confirmed"
"Hong Kong",2,2
"Hong Kong",3,2
"Hong Kong",4,5
"Hong Kong",5,8
"Hong Kong",6,8
"Hong Kong",7,8
"Hong Kong",8,10
"Hong Kong",9,10
"Hong Kong",10,12
"Hong Kong",11,13
"Hong Kong",12,15
"Hong Kong",13,15
"Hong Kong",14,17
"Hong Kong",15,21
"Hong Kong",16,24
"Hong Kong",17,25
"Hong Kong",18,26
"Hong Kong",19,29
"Hong Kong",20,38
"Hong Kong",21,49
"Hong Kong",22,50
"Hong Kong",23,53
"Hong Kong",24,56
"Hong Kong",25,56
"Hong Kong",26,57
"Hong Kong",27,60
"Hong Kong",28,62
"Hong Kong",29,63
"Hong Kong",30,68
"Hong Kong",31,68
"Hong Kong",32,69
"Hong Kong",33,74
"Hong Kong",34,79
"Hong Kong",35,84
"Hong Kong",36,91
"Hong Kong",37,92
"Hong Kong",38,94
"Hong Kong",39,95
"Hong Kong",40,96
"Hong Kong",41,100
"Hong Kong",42,100
"Hong Kong",43,105
"Hong Kong",44,105
"Hong Kong",45,107
"Hong Kong",46,108
"Hong Kong",47,114
"Hong Kong",48,115
