"Country","Day","Confirmed","Deaths","Recovered"
"Hungary",1,2,0,0
"Hungary",2,2,0,0
"Hungary",3,2,0,0
"Hungary",4,4,0,0
"Hungary",5,7,0,0
"Hungary",6,9,0,0
"Hungary",7,9,0,0
"Hungary",8,13,0,0
"Hungary",9,13,0,0
"Hungary",10,19,0,0
"Hungary",11,30,0,1
"Hungary",12,32,1,1
"Hungary",13,39,1,1
"Hungary",14,50,1,2
"Hungary",15,58,1,2
"Hungary",16,73,1,2
"Hungary",17,85,3,2
"Hungary",18,103,4,7
"Hungary",19,131,6,16
"Hungary",20,167,7,16
"Hungary",21,187,9,21
"Hungary",22,226,10,21
"Hungary",23,261,10,28
"Hungary",24,300,10,34
"Hungary",25,343,11,34
"Hungary",26,408,13,34
"Hungary",27,447,15,34
"Hungary",28,492,16,37
"Hungary",29,525,20,40
"Hungary",30,585,21,42
"Hungary",31,623,26,43
"Hungary",32,678,32,58
"Hungary",33,733,34,66
"Hungary",34,744,38,67
"Hungary",35,817,47,71
"Hungary",36,895,58,94
"Hungary",37,980,66,96
"Hungary",38,1190,77,112
"Hungary",39,1310,85,115
"Hungary",40,1410,99,118
"Hungary",41,1458,109,120
"Hungary",42,1512,122,122
"Hungary",43,1579,134,192
"Hungary",44,1652,142,199
"Hungary",45,1763,156,207
"Hungary",46,1834,172,231
"Hungary",47,1916,189,250
"Hungary",48,1984,199,267
"Hungary",49,2098,213,287
"Hungary",50,2168,225,295
"Hungary",51,2284,239,390
"Hungary",52,2443,262,458
"Hungary",53,2443,262,458
"Hungary",54,2500,272,485
"Hungary",55,2583,280,498
"Hungary",56,2649,291,516
"Hungary",57,2727,300,536
"Hungary",58,2775,312,581
"Hungary",59,2863,323,609
"Hungary",60,2942,335,625
"Hungary",61,2998,340,629
"Hungary",62,3035,351,630
"Hungary",63,3065,363,709
"Hungary",64,3111,373,759
"Hungary",65,3150,383,801
"Hungary",66,3178,392,865
"Hungary",67,3213,405,904
"Hungary",68,3263,413,933
"Hungary",69,3284,421,958
"Hungary",70,3313,425,1007
"Hungary",71,3341,430,1102
