"Country","Day","Confirmed","Deaths","Recovered"
"Iceland",1,1,0,0
"Iceland",2,1,0,0
"Iceland",3,3,0,0
"Iceland",4,6,0,0
"Iceland",5,11,0,0
"Iceland",6,26,0,0
"Iceland",7,34,0,0
"Iceland",8,43,0,0
"Iceland",9,50,0,0
"Iceland",10,50,0,0
"Iceland",11,58,0,0
"Iceland",12,69,0,1
"Iceland",13,85,0,1
"Iceland",14,103,0,1
"Iceland",15,134,0,1
"Iceland",16,156,0,1
"Iceland",17,171,5,8
"Iceland",18,180,0,0
"Iceland",19,220,1,0
"Iceland",20,250,1,5
"Iceland",21,330,1,5
"Iceland",22,409,0,5
"Iceland",23,473,1,22
"Iceland",24,568,1,5
"Iceland",25,588,1,51
"Iceland",26,648,2,51
"Iceland",27,737,2,56
"Iceland",28,802,2,82
"Iceland",29,890,2,97
"Iceland",30,963,2,114
"Iceland",31,1020,2,135
"Iceland",32,1086,2,157
"Iceland",33,1135,2,198
"Iceland",34,1220,2,225
"Iceland",35,1319,4,284
"Iceland",36,1364,4,309
"Iceland",37,1417,4,396
"Iceland",38,1486,4,428
"Iceland",39,1562,6,460
"Iceland",40,1586,6,559
"Iceland",41,1616,6,633
"Iceland",42,1648,6,688
"Iceland",43,1675,7,751
"Iceland",44,1689,8,841
"Iceland",45,1701,8,889
"Iceland",46,1711,8,933
"Iceland",47,1720,8,989
"Iceland",48,1727,8,1077
"Iceland",49,1739,8,1144
"Iceland",50,1754,9,1224
"Iceland",51,1760,9,1291
"Iceland",52,1771,9,1291
"Iceland",53,1773,10,1362
"Iceland",54,1778,10,1417
"Iceland",55,1785,10,1462
"Iceland",56,1789,10,1509
"Iceland",57,1789,10,1542
"Iceland",58,1790,10,1570
"Iceland",59,1792,10,1608
"Iceland",60,1792,10,1624
"Iceland",61,1795,10,1636
"Iceland",62,1797,10,1656
"Iceland",63,1797,10,1670
"Iceland",64,1798,10,1689
"Iceland",65,1798,10,1706
"Iceland",66,1799,10,1717
"Iceland",67,1799,10,1723
"Iceland",68,1799,10,1733
"Iceland",69,1799,10,1750
"Iceland",70,1801,10,1755
"Iceland",71,1801,10,1765
"Iceland",72,1801,10,1773
"Iceland",73,1801,10,1773
"Iceland",74,1801,10,1773
"Iceland",75,1801,10,1776
"Iceland",76,1802,10,1780
