"Country","Day","Confirmed","Deaths","Recovered"
"India",1,1,0,0
"India",2,1,0,0
"India",3,1,0,0
"India",4,2,0,0
"India",5,3,0,0
"India",6,3,0,0
"India",7,3,0,0
"India",8,3,0,0
"India",9,3,0,0
"India",10,3,0,0
"India",11,3,0,0
"India",12,3,0,0
"India",13,3,0,0
"India",14,3,0,0
"India",15,3,0,0
"India",16,3,0,0
"India",17,3,0,0
"India",18,3,0,3
"India",19,3,0,3
"India",20,3,0,3
"India",21,3,0,3
"India",22,3,0,3
"India",23,3,0,3
"India",24,3,0,3
"India",25,3,0,3
"India",26,3,0,3
"India",27,3,0,3
"India",28,3,0,3
"India",29,3,0,3
"India",30,3,0,3
"India",31,3,0,3
"India",32,3,0,3
"India",33,5,0,3
"India",34,5,0,3
"India",35,28,0,3
"India",36,30,0,3
"India",37,31,0,3
"India",38,34,0,3
"India",39,39,0,3
"India",40,43,0,3
"India",41,56,0,4
"India",42,62,1,4
"India",43,73,1,4
"India",44,82,2,4
"India",45,102,2,4
"India",46,113,2,13
"India",47,119,2,13
"India",48,142,3,14
"India",49,156,3,14
"India",50,194,4,15
"India",51,244,5,20
"India",52,330,4,23
"India",53,396,7,24
"India",54,499,10,34
"India",55,536,10,40
