"Country","Day","Confirmed","Deaths","Recovered"
"Indonesia",1,2,0,0
"Indonesia",2,2,0,0
"Indonesia",3,2,0,0
"Indonesia",4,2,0,0
"Indonesia",5,4,0,0
"Indonesia",6,4,0,0
"Indonesia",7,6,0,0
"Indonesia",8,19,0,0
"Indonesia",9,27,0,2
"Indonesia",10,34,1,2
"Indonesia",11,34,1,2
"Indonesia",12,69,4,2
"Indonesia",13,96,5,8
"Indonesia",14,117,5,8
"Indonesia",15,134,5,8
"Indonesia",16,172,5,8
"Indonesia",17,227,19,11
"Indonesia",18,311,25,11
"Indonesia",19,369,32,15
"Indonesia",20,450,38,15
"Indonesia",21,514,48,29
"Indonesia",22,579,49,30
"Indonesia",23,686,55,30
"Indonesia",24,790,58,31
"Indonesia",25,893,78,35
"Indonesia",26,1046,87,46
"Indonesia",27,1155,102,59
"Indonesia",28,1285,114,64
"Indonesia",29,1414,122,75
"Indonesia",30,1528,136,81
"Indonesia",31,1677,157,103
"Indonesia",32,1790,170,112
"Indonesia",33,1986,181,134
"Indonesia",34,2092,191,150
"Indonesia",35,2273,198,164
"Indonesia",36,2491,209,192
"Indonesia",37,2738,221,204
"Indonesia",38,2956,240,222
"Indonesia",39,3293,280,252
"Indonesia",40,3512,306,282
"Indonesia",41,3842,327,286
"Indonesia",42,4241,373,359
"Indonesia",43,4557,399,380
"Indonesia",44,4839,459,426
"Indonesia",45,5136,469,446
"Indonesia",46,5516,496,548
"Indonesia",47,5923,520,607
"Indonesia",48,6248,535,631
"Indonesia",49,6575,582,686
"Indonesia",50,6760,590,747
"Indonesia",51,7135,616,842
"Indonesia",52,7418,635,913
"Indonesia",53,7775,647,960
"Indonesia",54,8211,689,1002
"Indonesia",55,8607,720,1042
"Indonesia",56,8882,743,1107
"Indonesia",57,9096,765,1151
"Indonesia",58,9511,773,1254
"Indonesia",59,9771,784,1391
"Indonesia",60,10118,792,1522
"Indonesia",61,10551,800,1591
"Indonesia",62,10843,831,1665
"Indonesia",63,11192,845,1876
"Indonesia",64,11587,864,1954
"Indonesia",65,12071,872,2197
