"Country","Day","Confirmed","Deaths","Recovered"
"Iraq",1,1,0,0
"Iraq",2,1,0,0
"Iraq",3,5,0,0
"Iraq",4,7,0,0
"Iraq",5,7,0,0
"Iraq",6,13,0,0
"Iraq",7,19,0,0
"Iraq",8,26,0,0
"Iraq",9,32,0,0
"Iraq",10,35,2,0
"Iraq",11,35,2,0
"Iraq",12,40,3,0
"Iraq",13,54,4,0
"Iraq",14,60,6,0
"Iraq",15,60,6,9
"Iraq",16,71,7,3
"Iraq",17,71,7,15
"Iraq",18,71,8,15
"Iraq",19,101,9,24
"Iraq",20,110,10,26
"Iraq",21,116,10,26
"Iraq",22,124,10,26
"Iraq",23,154,11,32
"Iraq",24,164,12,43
"Iraq",25,192,13,43
"Iraq",26,208,17,49
"Iraq",27,214,17,51
