"Country","Day","Confirmed"
"Italy",10,2
"Italy",11,2
"Italy",12,2
"Italy",13,2
"Italy",14,2
"Italy",15,2
"Italy",16,2
"Italy",17,3
"Italy",18,3
"Italy",19,3
"Italy",20,3
"Italy",21,3
"Italy",22,3
"Italy",23,3
"Italy",24,3
"Italy",25,3
"Italy",26,3
"Italy",27,3
"Italy",28,3
"Italy",29,3
"Italy",30,3
"Italy",31,20
"Italy",32,62
"Italy",33,155
"Italy",34,229
"Italy",35,322
"Italy",36,453
"Italy",37,655
"Italy",38,888
"Italy",39,1128
"Italy",40,1694
"Italy",41,2036
"Italy",42,2502
"Italy",43,3089
"Italy",44,3858
"Italy",45,4636
"Italy",46,5883
"Italy",47,7375
