"Country","Day","Confirmed","Deaths","Recovered"
"Jamaica",1,1,0,0
"Jamaica",2,2,0,0
"Jamaica",3,8,0,0
"Jamaica",4,8,0,0
"Jamaica",5,10,0,0
"Jamaica",6,10,0,2
"Jamaica",7,12,0,2
"Jamaica",8,13,0,2
"Jamaica",9,15,1,2
"Jamaica",10,16,1,2
"Jamaica",11,16,1,2
"Jamaica",12,19,1,2
"Jamaica",13,19,1,2
"Jamaica",14,21,1,2
"Jamaica",15,26,1,2
"Jamaica",16,26,1,2
"Jamaica",17,26,1,2
"Jamaica",18,30,1,2
"Jamaica",19,32,1,2
"Jamaica",20,36,1,2
"Jamaica",21,36,1,2
"Jamaica",22,44,3,2
"Jamaica",23,47,3,2
"Jamaica",24,47,3,2
"Jamaica",25,53,3,7
"Jamaica",26,58,3,8
"Jamaica",27,58,3,8
"Jamaica",28,63,3,8
"Jamaica",29,63,4,10
"Jamaica",30,63,4,12
"Jamaica",31,63,4,13
"Jamaica",32,65,4,13
"Jamaica",33,69,4,13
"Jamaica",34,73,4,19
"Jamaica",35,73,4,19
"Jamaica",36,125,5,21
"Jamaica",37,143,5,21
