"Country","Day","Confirmed"
"Japan",1,2
"Japan",2,1
"Japan",3,2
"Japan",4,2
"Japan",5,4
"Japan",6,4
"Japan",7,7
"Japan",8,7
"Japan",9,11
"Japan",10,15
"Japan",11,20
"Japan",12,20
"Japan",13,20
"Japan",14,22
"Japan",15,22
"Japan",16,45
"Japan",17,25
"Japan",18,25
"Japan",19,26
"Japan",20,26
"Japan",21,26
"Japan",22,28
"Japan",23,28
"Japan",24,29
"Japan",25,43
"Japan",26,59
"Japan",27,66
"Japan",28,74
"Japan",29,84
"Japan",30,94
"Japan",31,105
"Japan",32,122
"Japan",33,147
"Japan",34,159
"Japan",35,170
"Japan",36,189
"Japan",37,214
"Japan",38,228
"Japan",39,241
"Japan",40,256
"Japan",41,274
"Japan",42,293
"Japan",43,331
"Japan",44,360
"Japan",45,420
"Japan",46,461
"Japan",47,502
"Japan",48,511
"Japan",49,581
"Japan",50,639
"Japan",51,639
"Japan",52,701
"Japan",53,773
