"Country","Day","Confirmed","Deaths","Recovered"
"Jordan",1,1,0,0
"Jordan",2,1,0,0
"Jordan",3,1,0,0
"Jordan",4,1,0,0
"Jordan",5,1,0,0
"Jordan",6,1,0,0
"Jordan",7,1,0,0
"Jordan",8,1,0,0
"Jordan",9,1,0,0
"Jordan",10,1,0,0
"Jordan",11,1,0,1
"Jordan",12,1,0,1
"Jordan",13,8,0,1
"Jordan",14,17,0,1
"Jordan",15,34,0,1
"Jordan",16,52,0,1
"Jordan",17,69,0,1
"Jordan",18,85,0,1
"Jordan",19,85,0,1
"Jordan",20,112,0,1
"Jordan",21,127,0,1
"Jordan",22,154,0,1
"Jordan",23,172,0,1
"Jordan",24,212,0,1
"Jordan",25,235,1,18
"Jordan",26,246,1,18
"Jordan",27,259,3,18
"Jordan",28,268,5,26
"Jordan",29,274,5,30
"Jordan",30,278,5,36
"Jordan",31,299,5,45
"Jordan",32,310,5,58
"Jordan",33,323,5,74
"Jordan",34,345,5,110
"Jordan",35,349,6,126
"Jordan",36,353,6,138
"Jordan",37,358,6,150
"Jordan",38,372,7,161
"Jordan",39,372,7,170
"Jordan",40,381,7,177
"Jordan",41,389,7,201
"Jordan",42,391,7,215
"Jordan",43,397,7,235
"Jordan",44,401,7,250
"Jordan",45,402,7,259
"Jordan",46,407,7,265
"Jordan",47,413,7,269
"Jordan",48,417,7,276
"Jordan",49,425,7,282
"Jordan",50,428,7,297
"Jordan",51,435,7,315
"Jordan",52,437,7,318
"Jordan",53,441,7,326
"Jordan",54,444,7,332
"Jordan",55,447,7,337
"Jordan",56,449,7,342
"Jordan",57,449,8,348
"Jordan",58,451,8,356
"Jordan",59,453,8,362
"Jordan",60,459,8,364
"Jordan",61,460,9,367
"Jordan",62,461,9,367
"Jordan",63,465,9,370
"Jordan",64,471,9,375
