"Country","Day","Confirmed","Deaths","Recovered"
"Kazakhstan",1,4,0,0
"Kazakhstan",2,6,0,0
"Kazakhstan",3,9,0,0
"Kazakhstan",4,10,0,0
"Kazakhstan",5,33,0,0
"Kazakhstan",6,35,0,0
"Kazakhstan",7,44,0,0
"Kazakhstan",8,49,3,0
"Kazakhstan",9,53,0,0
"Kazakhstan",10,59,0,0
"Kazakhstan",11,62,0,0
"Kazakhstan",12,72,0,0
"Kazakhstan",13,81,0,0
"Kazakhstan",14,111,1,2
"Kazakhstan",15,150,1,3
"Kazakhstan",16,228,1,16
"Kazakhstan",17,284,1,20
"Kazakhstan",18,302,1,21
"Kazakhstan",19,343,2,24
"Kazakhstan",20,380,3,26
"Kazakhstan",21,435,3,27
"Kazakhstan",22,464,6,29
"Kazakhstan",23,531,5,36
"Kazakhstan",24,584,6,42
"Kazakhstan",25,662,6,46
"Kazakhstan",26,697,6,51
"Kazakhstan",27,727,7,54
"Kazakhstan",28,781,8,60
"Kazakhstan",29,812,10,64
"Kazakhstan",30,865,10,81
"Kazakhstan",31,951,10,99
"Kazakhstan",32,1091,12,138
"Kazakhstan",33,1232,14,203
"Kazakhstan",34,1295,16,240
"Kazakhstan",35,1402,17,277
"Kazakhstan",36,1546,17,347
"Kazakhstan",37,1615,17,377
"Kazakhstan",38,1676,17,400
"Kazakhstan",39,1852,19,447
"Kazakhstan",40,1995,19,489
"Kazakhstan",41,2135,19,515
"Kazakhstan",42,2289,20,560
"Kazakhstan",43,2482,25,604
"Kazakhstan",44,2601,25,646
"Kazakhstan",45,2717,25,682
"Kazakhstan",46,2835,25,720
"Kazakhstan",47,3027,25,774
"Kazakhstan",48,3138,25,819
"Kazakhstan",49,3402,25,866
"Kazakhstan",50,3597,25,922
"Kazakhstan",51,3857,25,985
"Kazakhstan",52,3920,27,1084
"Kazakhstan",53,4049,29,1173
"Kazakhstan",54,4205,29,1279
"Kazakhstan",55,4422,30,1408
"Kazakhstan",56,4578,30,1518
"Kazakhstan",57,4834,31,1631
"Kazakhstan",58,4975,31,1776
"Kazakhstan",59,5090,31,1941
"Kazakhstan",60,5207,32,2074
"Kazakhstan",61,5279,32,2223
"Kazakhstan",62,5417,32,2408
