"Country","Day","Confirmed","Deaths","Recovered"
"Kenya",1,1,0,0
"Kenya",2,1,0,0
"Kenya",3,3,0,0
"Kenya",4,3,0,0
"Kenya",5,3,0,0
"Kenya",6,3,0,0
"Kenya",7,7,0,0
"Kenya",8,7,0,0
"Kenya",9,7,0,0
"Kenya",10,15,0,0
"Kenya",11,16,0,0
"Kenya",12,25,0,0
"Kenya",13,28,0,1
"Kenya",14,31,1,1
"Kenya",15,31,1,1
"Kenya",16,38,1,1
"Kenya",17,42,1,1
"Kenya",18,50,1,1
"Kenya",19,59,1,1
"Kenya",20,81,1,3
"Kenya",21,110,3,4
"Kenya",22,122,4,4
"Kenya",23,126,4,4
"Kenya",24,142,4,4
"Kenya",25,158,6,4
"Kenya",26,172,6,7
"Kenya",27,179,6,9
"Kenya",28,184,7,12
"Kenya",29,189,7,22
"Kenya",30,191,7,24
"Kenya",31,197,8,25
"Kenya",32,208,9,40
"Kenya",33,216,9,41
"Kenya",34,225,10,53
"Kenya",35,234,11,53
"Kenya",36,246,11,53
"Kenya",37,262,12,60
"Kenya",38,270,14,67
"Kenya",39,281,14,69
"Kenya",40,296,14,74
"Kenya",41,303,14,74
"Kenya",42,320,14,89
"Kenya",43,336,14,94
"Kenya",44,343,14,98
"Kenya",45,355,14,106
"Kenya",46,363,14,114
"Kenya",47,374,14,124
"Kenya",48,384,15,129
"Kenya",49,396,17,144
"Kenya",50,411,21,150
"Kenya",51,435,22,152
"Kenya",52,465,24,167
"Kenya",53,490,24,173
"Kenya",54,535,24,182
"Kenya",55,582,26,190
"Kenya",56,607,29,197
"Kenya",57,621,29,202
"Kenya",58,649,30,207
"Kenya",59,672,32,239
"Kenya",60,700,33,251
"Kenya",61,715,36,259
"Kenya",62,737,40,281
