"Country","Day","Confirmed","Deaths","Recovered"
"Kosovo",1,2,0,0
"Kosovo",2,2,0,0
"Kosovo",3,2,0,0
"Kosovo",4,2,0,0
"Kosovo",5,2,0,0
"Kosovo",6,2,0,0
"Kosovo",7,2,0,0
"Kosovo",8,71,1,0
"Kosovo",9,86,1,1
"Kosovo",10,91,1,1
"Kosovo",11,94,1,1
"Kosovo",12,94,1,1
"Kosovo",13,112,1,6
"Kosovo",14,125,1,10
"Kosovo",15,125,1,10
"Kosovo",16,126,1,10
"Kosovo",17,135,1,16
"Kosovo",18,145,1,23
"Kosovo",19,145,1,23
"Kosovo",20,170,4,24
"Kosovo",21,184,5,30
"Kosovo",22,184,5,30
"Kosovo",23,250,7,52
"Kosovo",24,283,7,58
"Kosovo",25,283,7,58
"Kosovo",26,283,7,58
"Kosovo",27,387,8,66
"Kosovo",28,387,8,66
"Kosovo",29,449,11,79
"Kosovo",30,480,12,84
"Kosovo",31,510,12,93
"Kosovo",32,510,12,93
"Kosovo",33,510,12,93
"Kosovo",34,510,12,93
"Kosovo",35,510,12,93
"Kosovo",36,510,12,93
"Kosovo",37,510,12,93
"Kosovo",38,510,12,93
"Kosovo",39,510,12,93
"Kosovo",40,510,12,93
"Kosovo",41,510,12,93
"Kosovo",42,510,12,93
"Kosovo",43,799,22,249
"Kosovo",44,806,22,271
"Kosovo",45,823,22,336
"Kosovo",46,851,22,381
"Kosovo",47,855,26,403
"Kosovo",48,856,26,490
"Kosovo",49,856,26,490
"Kosovo",50,861,27,562
"Kosovo",51,861,27,562
"Kosovo",52,862,28,622
"Kosovo",53,870,28,653
"Kosovo",54,884,28,655
"Kosovo",55,919,29,671
"Kosovo",56,919,29,671
