"Country","Day","Confirmed","Deaths","Recovered"
"Kuwait",1,1,0,0
"Kuwait",2,11,0,0
"Kuwait",3,26,0,0
"Kuwait",4,43,0,0
"Kuwait",5,45,0,0
"Kuwait",6,45,0,0
"Kuwait",7,45,0,0
"Kuwait",8,56,0,0
"Kuwait",9,56,0,0
"Kuwait",10,56,0,0
"Kuwait",11,58,0,0
"Kuwait",12,58,0,0
"Kuwait",13,61,0,0
"Kuwait",14,64,0,1
"Kuwait",15,64,0,1
"Kuwait",16,69,0,1
"Kuwait",17,72,0,2
"Kuwait",18,80,0,5
"Kuwait",19,80,0,5
"Kuwait",20,104,0,5
"Kuwait",21,112,0,5
"Kuwait",22,123,0,9
"Kuwait",23,130,0,9
"Kuwait",24,142,0,15
"Kuwait",25,148,0,18
"Kuwait",26,159,0,18
"Kuwait",27,176,0,27
"Kuwait",28,188,0,30
"Kuwait",29,189,0,30
"Kuwait",30,191,0,39
"Kuwait",31,195,0,43
"Kuwait",32,208,0,49
"Kuwait",33,225,0,57
"Kuwait",34,235,0,64
"Kuwait",35,255,0,67
"Kuwait",36,266,0,72
"Kuwait",37,289,0,73
"Kuwait",38,317,0,80
"Kuwait",39,342,0,81
"Kuwait",40,417,0,82
"Kuwait",41,479,1,93
"Kuwait",42,556,1,99
"Kuwait",43,665,1,103
"Kuwait",44,743,1,105
"Kuwait",45,855,1,111
"Kuwait",46,910,1,111
"Kuwait",47,993,1,123
"Kuwait",48,1154,1,133
"Kuwait",49,1234,1,142
"Kuwait",50,1300,2,150
"Kuwait",51,1355,3,176
"Kuwait",52,1405,3,206
"Kuwait",53,1524,3,225
"Kuwait",54,1658,5,258
"Kuwait",55,1751,6,280
"Kuwait",56,1915,7,305
"Kuwait",57,1995,9,367
"Kuwait",58,2080,11,412
"Kuwait",59,2248,13,443
"Kuwait",60,2399,14,498
"Kuwait",61,2614,15,613
"Kuwait",62,2892,19,656
"Kuwait",63,3075,20,806
"Kuwait",64,3288,22,1012
"Kuwait",65,3440,23,1176
"Kuwait",66,3740,24,1389
"Kuwait",67,4024,26,1539
"Kuwait",68,4377,30,1602
"Kuwait",69,4619,33,1703
"Kuwait",70,4983,38,1776
"Kuwait",71,5278,40,1947
"Kuwait",72,5804,40,2032
"Kuwait",73,6289,42,2219
"Kuwait",74,6567,44,2381
"Kuwait",75,7208,47,2466
"Kuwait",76,7623,49,2622
"Kuwait",77,8688,58,2729
"Kuwait",78,9286,65,2907
"Kuwait",79,10277,75,3101
"Kuwait",80,11028,82,3263
