"Country","Day","Confirmed","Deaths","Recovered"
"Kyrgyzstan",1,3,0,0
"Kyrgyzstan",2,3,0,0
"Kyrgyzstan",3,6,0,0
"Kyrgyzstan",4,14,0,0
"Kyrgyzstan",5,14,0,0
"Kyrgyzstan",6,16,0,0
"Kyrgyzstan",7,42,0,0
"Kyrgyzstan",8,44,0,0
"Kyrgyzstan",9,44,0,0
"Kyrgyzstan",10,58,0,0
"Kyrgyzstan",11,58,0,0
"Kyrgyzstan",12,84,0,0
"Kyrgyzstan",13,94,0,3
"Kyrgyzstan",14,107,0,3
"Kyrgyzstan",15,111,0,3
"Kyrgyzstan",16,116,0,5
"Kyrgyzstan",17,130,1,6
"Kyrgyzstan",18,144,1,9
"Kyrgyzstan",19,147,1,9
"Kyrgyzstan",20,216,4,33
"Kyrgyzstan",21,228,4,33
"Kyrgyzstan",22,270,4,33
"Kyrgyzstan",23,280,4,35
"Kyrgyzstan",24,298,5,35
"Kyrgyzstan",25,339,5,44
"Kyrgyzstan",26,377,5,54
"Kyrgyzstan",27,419,5,67
"Kyrgyzstan",28,430,5,71
"Kyrgyzstan",29,449,5,78
"Kyrgyzstan",30,466,5,91
