"Country","Day","Confirmed","Deaths","Recovered"
"Latvia",1,1,0,0
"Latvia",2,1,0,0
"Latvia",3,1,0,0
"Latvia",4,1,0,0
"Latvia",5,1,0,0
"Latvia",6,1,0,0
"Latvia",7,2,0,0
"Latvia",8,6,0,0
"Latvia",9,8,0,1
"Latvia",10,10,0,1
"Latvia",11,10,0,1
"Latvia",12,17,0,1
"Latvia",13,26,0,1
"Latvia",14,30,0,1
"Latvia",15,34,0,1
"Latvia",16,49,0,1
"Latvia",17,71,0,1
"Latvia",18,86,0,1
"Latvia",19,111,0,1
"Latvia",20,124,0,1
"Latvia",21,139,0,1
"Latvia",22,180,0,1
"Latvia",23,197,0,1
"Latvia",24,221,0,1
"Latvia",25,244,0,1
