"Country","Day","Confirmed","Deaths","Recovered"
"Liberia",1,1,0,0
"Liberia",2,1,0,0
"Liberia",3,2,0,0
"Liberia",4,2,0,0
"Liberia",5,2,0,0
"Liberia",6,3,0,0
"Liberia",7,3,0,0
"Liberia",8,3,0,0
"Liberia",9,3,0,0
"Liberia",10,3,0,0
"Liberia",11,3,0,0
"Liberia",12,3,0,0
"Liberia",13,3,0,0
"Liberia",14,3,0,0
"Liberia",15,3,0,0
"Liberia",16,3,0,0
"Liberia",17,6,0,0
"Liberia",18,6,0,0
"Liberia",19,7,0,0
"Liberia",20,10,1,3
"Liberia",21,13,3,3
"Liberia",22,14,3,3
"Liberia",23,14,3,3
"Liberia",24,31,4,3
"Liberia",25,31,4,3
"Liberia",26,37,5,3
"Liberia",27,48,5,3
"Liberia",28,50,5,3
"Liberia",29,59,6,4
"Liberia",30,59,6,4
"Liberia",31,59,6,4
"Liberia",32,59,6,4
"Liberia",33,76,7,7
"Liberia",34,76,7,7
"Liberia",35,91,8,7
"Liberia",36,99,8,7
"Liberia",37,101,8,7
"Liberia",38,101,8,20
"Liberia",39,101,8,20
"Liberia",40,117,8,25
"Liberia",41,120,11,25
"Liberia",42,124,12,25
"Liberia",43,124,12,25
"Liberia",44,141,16,45
"Liberia",45,141,16,45
"Liberia",46,141,16,45
"Liberia",47,152,18,45
"Liberia",48,154,18,48
"Liberia",49,158,18,58
"Liberia",50,166,18,58
"Liberia",51,170,20,58
"Liberia",52,178,20,75
"Liberia",53,189,20,79
"Liberia",54,199,20,79
"Liberia",55,199,20,79
"Liberia",56,199,20,79
"Liberia",57,211,20,85
"Liberia",58,211,20,85
"Liberia",59,213,20,101
