"Country","Day","Confirmed"
"Macau",1,1
"Macau",2,2
"Macau",3,2
"Macau",4,2
"Macau",5,5
"Macau",6,6
"Macau",7,7
"Macau",8,7
"Macau",9,7
"Macau",10,7
"Macau",11,7
"Macau",12,8
"Macau",13,8
"Macau",14,10
"Macau",15,10
"Macau",16,10
"Macau",17,10
"Macau",18,10
"Macau",19,10
"Macau",20,10
"Macau",21,10
"Macau",22,10
"Macau",23,10
"Macau",24,10
"Macau",25,10
"Macau",26,10
"Macau",27,10
"Macau",28,10
"Macau",29,10
"Macau",30,10
"Macau",31,10
"Macau",32,10
"Macau",33,10
"Macau",34,10
"Macau",35,10
"Macau",36,10
"Macau",37,10
"Macau",38,10
"Macau",39,10
"Macau",40,10
"Macau",41,10
"Macau",42,10
"Macau",43,10
"Macau",44,10
"Macau",45,10
"Macau",46,10
"Macau",47,10
"Macau",48,10
