"Country","Day","Confirmed","Deaths","Recovered"
"Madagascar",1,3,0,0
"Madagascar",2,3,0,0
"Madagascar",3,3,0,0
"Madagascar",4,12,0,0
"Madagascar",5,17,0,0
"Madagascar",6,19,0,0
"Madagascar",7,23,0,0
"Madagascar",8,26,0,0
"Madagascar",9,26,0,0
"Madagascar",10,39,0,0
"Madagascar",11,43,0,0
"Madagascar",12,57,0,0
"Madagascar",13,57,0,0
"Madagascar",14,59,0,0
"Madagascar",15,70,0,0
"Madagascar",16,70,0,0
"Madagascar",17,72,0,2
"Madagascar",18,82,0,2
"Madagascar",19,88,0,7
"Madagascar",20,93,0,11
"Madagascar",21,93,0,11
"Madagascar",22,93,0,11
"Madagascar",23,102,0,11
"Madagascar",24,106,0,20
"Madagascar",25,106,0,21
"Madagascar",26,108,0,23
"Madagascar",27,110,0,29
"Madagascar",28,111,0,33
"Madagascar",29,117,0,33
"Madagascar",30,120,0,35
"Madagascar",31,121,0,39
"Madagascar",32,121,0,41
"Madagascar",33,121,0,44
"Madagascar",34,121,0,52
"Madagascar",35,121,0,58
"Madagascar",36,122,0,61
"Madagascar",37,123,0,62
"Madagascar",38,124,0,71
"Madagascar",39,128,0,75
"Madagascar",40,128,0,82
"Madagascar",41,128,0,90
"Madagascar",42,128,0,92
"Madagascar",43,132,0,94
"Madagascar",44,135,0,97
"Madagascar",45,149,0,98
"Madagascar",46,149,0,99
"Madagascar",47,151,0,101
