"Country","Day","Confirmed"
"Mainland China",1,547
"Mainland China",2,639
"Mainland China",3,916
"Mainland China",4,1399
"Mainland China",5,2062
"Mainland China",6,2863
"Mainland China",7,5494
"Mainland China",8,6070
"Mainland China",9,8124
"Mainland China",10,9783
"Mainland China",11,11871
"Mainland China",12,16607
"Mainland China",13,19693
"Mainland China",14,23680
"Mainland China",15,27409
"Mainland China",16,30553
"Mainland China",17,34075
"Mainland China",18,36778
"Mainland China",19,39790
"Mainland China",20,42306
"Mainland China",21,44327
"Mainland China",22,44699
"Mainland China",23,59832
"Mainland China",24,66292
"Mainland China",25,68347
"Mainland China",26,70446
"Mainland China",27,72364
"Mainland China",28,74139
"Mainland China",29,74546
"Mainland China",30,74999
"Mainland China",31,75472
"Mainland China",32,76922
"Mainland China",33,76938
"Mainland China",34,77152
"Mainland China",35,77660
"Mainland China",36,78065
"Mainland China",37,78498
"Mainland China",38,78824
"Mainland China",39,79251
"Mainland China",40,79826
"Mainland China",41,80026
"Mainland China",42,80151
"Mainland China",43,80271
"Mainland China",44,80422
"Mainland China",45,80573
"Mainland China",46,80652
"Mainland China",47,80699
"Mainland China",48,80735
"Mainland China",49,80757
"Mainland China",50,80921
