"Country","Day","Confirmed","Deaths","Recovered"
"Malawi",1,3,0,0
"Malawi",2,3,0,0
"Malawi",3,4,0,0
"Malawi",4,4,0,0
"Malawi",5,5,0,0
"Malawi",6,8,1,0
"Malawi",7,8,1,0
"Malawi",8,8,1,0
"Malawi",9,9,1,0
"Malawi",10,12,2,0
"Malawi",11,13,2,0
"Malawi",12,16,2,0
"Malawi",13,16,2,0
"Malawi",14,16,2,0
"Malawi",15,16,2,0
"Malawi",16,17,2,3
"Malawi",17,17,2,3
"Malawi",18,17,2,3
"Malawi",19,17,2,3
"Malawi",20,18,2,3
"Malawi",21,23,3,3
"Malawi",22,33,3,3
"Malawi",23,33,3,4
"Malawi",24,33,3,4
"Malawi",25,34,3,4
"Malawi",26,36,3,4
"Malawi",27,36,3,5
"Malawi",28,36,3,7
"Malawi",29,37,3,7
"Malawi",30,37,3,9
"Malawi",31,38,3,9
"Malawi",32,39,3,9
"Malawi",33,41,3,9
"Malawi",34,41,3,9
"Malawi",35,43,3,9
"Malawi",36,43,3,14
"Malawi",37,43,3,14
"Malawi",38,56,3,14
"Malawi",39,56,3,14
"Malawi",40,57,3,24
"Malawi",41,57,3,24
"Malawi",42,63,3,24
