"Country","Day","Confirmed"
"Malaysia",4,3
"Malaysia",5,4
"Malaysia",6,4
"Malaysia",7,4
"Malaysia",8,7
"Malaysia",9,8
"Malaysia",10,8
"Malaysia",11,8
"Malaysia",12,8
"Malaysia",13,8
"Malaysia",14,10
"Malaysia",15,12
"Malaysia",16,12
"Malaysia",17,12
"Malaysia",18,16
"Malaysia",19,16
"Malaysia",20,18
"Malaysia",21,18
"Malaysia",22,18
"Malaysia",23,19
"Malaysia",24,19
"Malaysia",25,22
"Malaysia",26,22
"Malaysia",27,22
"Malaysia",28,22
"Malaysia",29,22
"Malaysia",30,22
"Malaysia",31,22
"Malaysia",32,22
"Malaysia",33,22
"Malaysia",34,22
"Malaysia",35,22
"Malaysia",36,22
"Malaysia",37,23
"Malaysia",38,23
"Malaysia",39,25
"Malaysia",40,29
"Malaysia",41,29
"Malaysia",42,36
"Malaysia",43,50
"Malaysia",44,50
"Malaysia",45,83
"Malaysia",46,93
"Malaysia",47,99
"Malaysia",48,117
"Malaysia",49,129
"Malaysia",50,149
